anon_polygon_id,date,s2_ndvi,s2_evi,s2_ndwi
ROS1-01-0005,2024-04-04,0.6751705962637513,0.42124055449406417,-0.619014466880478
ROS1-01-0004,2024-04-04,0.1586724049701421,0.06029421922480751,-0.26284008446491425
ROS1-13-0005,2024-04-04,0.23648334841413707,0.06259553655435594,-0.3619218274884367
ROS1-07-0002,2024-04-04,0.7710809644592774,0.4751088905440604,-0.710053314036083
ROS1-18-0009,2024-04-04,0.4646193151456399,0.18673958331428694,-0.46947136264746764
ROS1-18-0014,2024-04-04,0.1862057130026656,0.04884747900265095,-0.2660715551590461
ROS1-19-0018,2024-04-04,0.597486450096611,0.28000915190636827,-0.5680804181718931
ROS1-16-0006,2024-04-04,0.18042536003078746,0.05532661999837271,-0.3303028948382006
ROS1-15-0004,2024-04-04,0.1671199930314499,0.06670470150342679,-0.31132442704281277
ROS1-16-0004,2024-04-04,0.19885728206920525,0.04620291986552575,-0.33235535167267216
ROS1-16-0006,2024-04-04,0.1708236267708563,0.05481508787561407,-0.3020038623649499
ROS1-18-0009,2024-04-06,0.40840543312920696,0.21981527249476543,-0.4246511982239703
ROS1-18-0014,2024-04-06,0.18346896036483037,0.06937622781976213,-0.24282150414355483
ROS1-19-0018,2024-04-06,0.6026230020381657,0.33914755020753845,-0.5513786354126348
ROS1-01-0005,2024-04-07,0.7018369408164601,0.42067655532556686,-0.6372448194620083
ROS1-01-0004,2024-04-07,0.15236492374420205,0.056951474280477955,-0.2518924124858839
ROS1-16-0006,2024-04-07,0.1931543957756377,0.050261002575728894,-0.3703046292575614
ROS1-15-0004,2024-04-07,0.1649768848514302,0.06433172179591884,-0.3269178276181874
ROS1-16-0004,2024-04-07,0.2128842437404413,0.0429525105018996,-0.3832271760780638
ROS1-16-0006,2024-04-07,0.18568206429512213,0.049881144690938344,-0.34729878546203186
ROS1-01-0005,2024-04-09,0.7048772657446717,0.4890377700041635,-0.6280849895256856
ROS1-01-0004,2024-04-09,0.1669669034426406,0.07451850453097918,-0.2492930105477914
ROS1-13-0005,2024-04-09,0.22084376267649966,0.0904170622986655,-0.3244333632497635
ROS1-07-0002,2024-04-09,0.7764132170315678,0.5454759832036943,-0.7108909500416035
ROS1-18-0009,2024-04-09,0.49338813380869884,0.28906169505917884,-0.4848602201193941
ROS1-18-0014,2024-04-09,0.1917018394991626,0.07993052841040676,-0.2524449672390122
ROS1-19-0018,2024-04-09,0.6276656141884042,0.3505707815647087,-0.5696852015609285
ROS1-14-0017,2024-04-09,0.26527302552995663,0.12039699638420642,-0.3451640181781173
ROS1-16-0004,2024-04-09,0.16693079569997518,0.06456041659119358,-0.23050334026931688
ROS1-18-0009,2024-04-11,0.5372978259461115,0.34049318007131446,-0.5058186533009679
ROS1-18-0014,2024-04-11,0.19293278149637913,0.09244170697481467,-0.24521422923781838
ROS1-19-0018,2024-04-11,0.6347788279410003,0.3741305569829036,-0.5687499627639192
ROS1-01-0005,2024-04-12,0.7060785846597972,0.45928972373004473,-0.6365139173345306
ROS1-01-0004,2024-04-12,0.1643669053089145,0.07131461382208135,-0.24738433465338971
ROS1-15-0004,2024-04-12,0.17445017466533952,0.08447849783464499,-0.2733663469427974
ROS1-16-0004,2024-04-12,0.17429684881396326,0.05524280731613275,-0.25400352145961463
ROS1-01-0005,2024-04-14,0.7373152040692418,0.5683174073415748,-0.6557378911969267
ROS1-13-0005,2024-04-14,0.16262180299672824,0.07652152690145428,-0.2755822026309162
ROS1-07-0002,2024-04-14,0.8160238606537601,0.5815905421684457,-0.744281099253755
ROS1-18-0009,2024-04-14,0.4779480906324196,0.3752601100125514,-0.44708427560381886
ROS1-18-0014,2024-04-14,0.17996207944846737,0.12117249163685981,-0.21705336724005908
ROS1-19-0018,2024-04-14,0.6632854190935309,0.46039530602597234,-0.5866251724269738
ROS1-16-0006,2024-04-14,0.1583513214843992,0.06098127693917772,-0.2728244387324239
ROS1-15-0004,2024-04-14,0.1406687680952962,0.09821082428737334,-0.13910756458641363
ROS1-16-0004,2024-04-14,0.18050349303815894,0.06667139863886226,-0.26150821684864645
ROS1-16-0006,2024-04-14,0.1434994638795785,0.06017502271346539,-0.23079530222133945
ROS1-16-0004,2024-04-17,0.28668677179404206,0.06166485351232771,-0.5293248812223058
ROS1-01-0005,2024-04-19,0.779915935902201,0.7350215254014537,-0.6776229246320891
ROS1-01-0004,2024-04-19,0.1800938256166563,0.09603552337085404,-0.25902800613118965
ROS1-14-0017,2024-04-19,0.3147769968977912,0.2945928105298245,-0.30273977689097953
ROS1-16-0004,2024-04-19,0.19196736256833138,0.05437604772308494,-0.27784492361165
ROS1-01-0005,2024-04-22,0.8293302183583959,0.597644334480125,-0.7331685922794017
ROS1-01-0004,2024-04-22,0.16377695319786406,0.06397655113375494,-0.269985769164425
ROS1-16-0006,2024-04-22,0.18767915171206073,0.06646682029596737,-0.3140537051610885
ROS1-15-0004,2024-04-22,0.20595022423241918,0.08880351694460581,-0.3222999016826321
ROS1-16-0004,2024-04-22,0.20324208290978224,0.0553818869783543,-0.30553096553036097
ROS1-16-0006,2024-04-22,0.1863280681624424,0.06643118622677036,-0.30944935182929606
ROS1-18-0009,2024-04-26,0.5123105408009325,0.5278022148507228,-0.4775957327421522
ROS1-18-0014,2024-04-26,0.2868314924140564,0.26434458434667674,-0.2895049104505035
ROS1-19-0018,2024-04-26,0.5524475636068386,0.578033732002145,-0.5060335029219827
ROS1-16-0006,2024-04-27,0.18553018957310374,0.0821135976208081,-0.26844010372712396
ROS1-16-0004,2024-04-27,0.1956729837201301,0.07911895240415881,-0.2516025416465466
