anon_polygon_id,date,modis_ndvi,modis_evi
ROS1-01-0007,2024-04-06,0.5665547619047618,0.29578650793650796
ROS1-01-0003,2024-04-06,0.5962169960474308,0.32175691699604747
ROS1-07-0012,2024-04-06,0.709745238095238,0.4142896825396825
ROS1-07-0011,2024-04-06,0.3671134920634921,0.15975238095238095
ROS1-15-0016,2024-04-06,0.2948119047619047,0.13908333333333334
ROS1-18-0007,2024-04-06,0.6590214285714285,0.34298690476190474
ROS1-19-0022,2024-04-06,0.3421363636363636,0.14382885375494073
ROS1-07-0018,2024-04-06,0.28346047430830046,0.11832648221343876
ROS1-13-0013,2024-04-06,0.48340632411067197,0.2271822134387352
ROS1-15-0006,2024-04-06,0.5875186507936508,0.2945813492063492
ROS1-16-0006,2024-04-06,0.250065873015873,0.07167500000000002
ROS1-18-0009,2024-04-06,0.4630325396825397,0.22611944444444448
ROS1-01-0005,2024-04-06,0.7161810276679843,0.4185675889328063
ROS1-07-0002,2024-04-06,0.8685213438735178,0.6337509881422926
ROS1-13-0005,2024-04-06,0.2878099206349206,0.11761190476190476
ROS1-14-0017,2024-04-06,0.3256375494071147,0.11797707509881424
ROS1-15-0004,2024-04-06,0.42019087301587305,0.2288980158730159
ROS1-16-0004,2024-04-06,0.32102015810276685,0.10408656126482214
ROS1-18-0014,2024-04-06,0.2608644268774704,0.0950810276679842
ROS1-19-0018,2024-04-06,0.7948794466403162,0.49917193675889326
ROS1-01-0004,2024-04-06,0.22022332015810278,0.090301185770751
ROS1-01-0007,2024-04-22,0.6960043650793651,0.4226575396825397
ROS1-01-0003,2024-04-22,0.710008300395257,0.5321984189723321
ROS1-07-0012,2024-04-22,0.8613079365079365,0.5920468253968254
ROS1-07-0011,2024-04-22,0.5411531746031747,0.25859444444444446
ROS1-15-0016,2024-04-22,0.31455238095238097,0.14510238095238095
ROS1-18-0007,2024-04-22,0.8539142857142857,0.5757321428571429
ROS1-19-0022,2024-04-22,0.39621462450592887,0.2241067193675889
ROS1-07-0018,2024-04-22,0.267009090909091,0.11988814229249013
ROS1-13-0013,2024-04-22,0.558300395256917,0.3509403162055336
ROS1-15-0006,2024-04-22,0.6931051587301588,0.3305337301587302
ROS1-16-0006,2024-04-22,0.25625039682539685,0.08777698412698412
ROS1-18-0009,2024-04-22,0.7884773809523811,0.5463615079365081
ROS1-01-0005,2024-04-22,0.7987442687747036,0.5424379446640316
ROS1-07-0002,2024-04-22,0.8458541501976284,0.7432059288537549
ROS1-13-0005,2024-04-22,0.44752619047619047,0.2425734126984127
ROS1-14-0017,2024-04-22,0.44193873517786564,0.20601581027667984
ROS1-15-0004,2024-04-22,0.5550563492063492,0.3092468253968254
ROS1-16-0004,2024-04-22,0.3666201581027668,0.10705256916996049
ROS1-18-0014,2024-04-22,0.6207810276679842,0.3840138339920948
ROS1-19-0018,2024-04-22,0.8526142292490119,0.6525335968379447
ROS1-01-0004,2024-04-22,0.2379549407114625,0.08823913043478261
ROS1-01-0007,2024-05-08,0.7247333333333333,0.41368095238095237
ROS1-01-0003,2024-05-08,0.687105533596838,0.4027233201581028
ROS1-07-0012,2024-05-08,0.874059126984127,0.5999833333333334
ROS1-07-0011,2024-05-08,0.6791285714285715,0.345484126984127
ROS1-15-0016,2024-05-08,0.3809373015873016,0.19701428571428573
ROS1-18-0007,2024-05-08,0.8707297619047619,0.5932630952380953
ROS1-19-0022,2024-05-08,0.4926426877470356,0.2593885375494071
ROS1-07-0018,2024-05-08,0.38791897233201583,0.13879960474308303
ROS1-13-0013,2024-05-08,0.596416600790514,0.2871217391304348
ROS1-15-0006,2024-05-08,0.7262515873015873,0.38564563492063497
ROS1-16-0006,2024-05-08,0.26688492063492064,0.12175555555555555
ROS1-18-0009,2024-05-08,0.8608134920634921,0.6004499999999999
ROS1-01-0005,2024-05-08,0.7864762845849803,0.5086166007905139
ROS1-07-0002,2024-05-08,0.8942652173913044,0.6836312252964427
ROS1-13-0005,2024-05-08,0.6740722222222222,0.4091654761904762
ROS1-14-0017,2024-05-08,0.42507154150197624,0.16694584980237157
ROS1-15-0004,2024-05-08,0.4703642857142857,0.23950793650793656
ROS1-16-0004,2024-05-08,0.4045675889328063,0.20036245059288538
ROS1-18-0014,2024-05-08,0.6520675889328064,0.34384347826086953
ROS1-19-0018,2024-05-08,0.9010241106719368,0.7168656126482214
ROS1-01-0004,2024-05-08,0.25234980237154153,0.0921221343873518
ROS1-01-0007,2024-05-24,0.6753781746031746,0.48889087301587303
ROS1-01-0003,2024-05-24,0.6624561264822134,0.46036996047430834
ROS1-07-0012,2024-05-24,0.8273932539682539,0.6798857142857142
ROS1-07-0011,2024-05-24,0.7360285714285716,0.44929523809523814
ROS1-15-0016,2024-05-24,0.3248365079365079,0.1828706349206349
ROS1-18-0007,2024-05-24,0.825152380952381,0.5674119047619047
ROS1-19-0022,2024-05-24,0.5344549407114625,0.2743359683794466
ROS1-07-0018,2024-05-24,0.4460173913043478,0.21138221343873517
ROS1-13-0013,2024-05-24,0.4839533596837945,0.25148616600790513
ROS1-15-0006,2024-05-24,0.47206944444444454,0.2689924603174604
ROS1-16-0006,2024-05-24,0.26301904761904765,0.10743293650793652
ROS1-18-0009,2024-05-24,0.6962257936507938,0.4307797619047619
ROS1-01-0005,2024-05-24,0.7173778656126483,0.5432679841897234
ROS1-07-0002,2024-05-24,0.7347241106719368,0.6120549407114625
ROS1-13-0005,2024-05-24,0.6217265873015874,0.38026706349206346
ROS1-14-0017,2024-05-24,0.46206877470355734,0.2570189723320158
ROS1-15-0004,2024-05-24,0.4737801587301587,0.22729007936507936
ROS1-16-0004,2024-05-24,0.48140711462450597,0.18322687747035574
ROS1-18-0014,2024-05-24,0.39693280632411065,0.18069723320158101
ROS1-19-0018,2024-05-24,0.8563181818181818,0.6562537549407115
ROS1-01-0004,2024-05-24,0.2526351778656127,0.10125296442687748
ROS1-01-0007,2024-06-09,0.36226031746031745,0.19448968253968252
ROS1-01-0003,2024-06-09,0.32635335968379453,0.21434703557312254
ROS1-07-0012,2024-06-09,0.6041785714285715,0.46387261904761906
ROS1-07-0011,2024-06-09,0.7059198412698412,0.5128849206349206
ROS1-15-0016,2024-06-09,0.29016984126984124,0.13785238095238095
ROS1-18-0007,2024-06-09,0.38916190476190476,0.19523452380952383
ROS1-19-0022,2024-06-09,0.6160241106719367,0.36124940711462444
ROS1-07-0018,2024-06-09,0.5427600790513833,0.33978972332015817
ROS1-13-0013,2024-06-09,0.4448513833992095,0.274301581027668
ROS1-15-0006,2024-06-09,0.30160515873015875,0.14761944444444447
ROS1-16-0006,2024-06-09,0.31471746031746034,0.1609964285714286
ROS1-18-0009,2024-06-09,0.48465,0.2737
ROS1-01-0005,2024-06-09,0.40190711462450596,0.22344584980237156
ROS1-07-0002,2024-06-09,0.5005873517786561,0.3606549407114624
ROS1-13-0005,2024-06-09,0.6239476190476191,0.40005555555555555
ROS1-14-0017,2024-06-09,0.3811086956521739,0.20151501976284586
ROS1-15-0004,2024-06-09,0.30585119047619047,0.16678928571428572
ROS1-16-0004,2024-06-09,0.7440434782608695,0.5432458498023716
ROS1-18-0014,2024-06-09,0.3952877470355732,0.20006600790513837
ROS1-19-0018,2024-06-09,0.624903162055336,0.4417379446640316
ROS1-01-0004,2024-06-09,0.4008687747035573,0.23761185770750992
ROS1-01-0007,2024-06-25,0.2527757936507936,0.16872142857142855
ROS1-01-0003,2024-06-25,0.24860869565217392,0.17502766798418973
ROS1-07-0012,2024-06-25,0.31716666666666665,0.20530357142857142
ROS1-07-0011,2024-06-25,0.39118650793650794,0.23770952380952381
ROS1-15-0016,2024-06-25,0.26324682539682537,0.12242142857142856
ROS1-18-0007,2024-06-25,0.3291690476190476,0.18902023809523807
ROS1-19-0022,2024-06-25,0.6243521739130435,0.439196837944664
ROS1-07-0018,2024-06-25,0.46778102766798424,0.2825237154150198
ROS1-13-0013,2024-06-25,0.37828023715415027,0.2320826086956522
ROS1-15-0006,2024-06-25,0.2887226190476191,0.1427384920634921
ROS1-16-0006,2024-06-25,0.6144142857142858,0.3824484126984127
ROS1-18-0009,2024-06-25,0.3533873015873016,0.21746111111111116
ROS1-01-0005,2024-06-25,0.24984743083003952,0.18177905138339923
ROS1-07-0002,2024-06-25,0.34727667984189725,0.2104328063241107
ROS1-13-0005,2024-06-25,0.5079984126984126,0.3555623015873016
ROS1-14-0017,2024-06-25,0.3781699604743083,0.2205889328063241
ROS1-15-0004,2024-06-25,0.3157142857142858,0.14993968253968257
ROS1-16-0004,2024-06-25,0.8497948616600791,0.6777656126482214
ROS1-18-0014,2024-06-25,0.3577320158102767,0.213000395256917
ROS1-19-0018,2024-06-25,0.2653754940711462,0.1938276679841897
ROS1-01-0004,2024-06-25,0.676294466403162,0.5124545454545455
ROS1-01-0007,2024-07-11,0.29747896825396825,0.19633333333333333
ROS1-01-0003,2024-07-11,0.22142252964426876,0.12905928853754942
ROS1-07-0012,2024-07-11,0.21487777777777775,0.14752261904761904
ROS1-07-0011,2024-07-11,0.26537698412698413,0.1336753968253968
ROS1-15-0016,2024-07-11,0.27496746031746033,0.12791507936507937
ROS1-18-0007,2024-07-11,0.29446190476190476,0.18155714285714283
ROS1-19-0022,2024-07-11,0.6667284584980238,0.5095517786561266
ROS1-07-0018,2024-07-11,0.473699604743083,0.25715928853754944
ROS1-13-0013,2024-07-11,0.369101581027668,0.19730592885375495
ROS1-15-0006,2024-07-11,0.21324285714285715,0.11460238095238097
ROS1-16-0006,2024-07-11,0.6469265873015873,0.43143333333333334
ROS1-18-0009,2024-07-11,0.24232023809523812,0.1911126984126984
ROS1-01-0005,2024-07-11,0.25370632411067195,0.1834245059288538
ROS1-07-0002,2024-07-11,0.24751462450592884,0.15522134387351783
ROS1-13-0005,2024-07-11,0.47482301587301595,0.3059690476190476
ROS1-14-0017,2024-07-11,0.3313411067193676,0.19620118577075102
ROS1-15-0004,2024-07-11,0.35696150793650794,0.184934126984127
ROS1-16-0004,2024-07-11,0.8646521739130435,0.718594071146245
ROS1-18-0014,2024-07-11,0.2910316205533597,0.17731581027667984
ROS1-19-0018,2024-07-11,0.22514150197628463,0.18057351778656128
ROS1-01-0004,2024-07-11,0.7657312252964427,0.6124549407114626
ROS1-01-0007,2024-07-27,0.33787698412698414,0.19488690476190476
ROS1-01-0003,2024-07-27,0.2021802371541502,0.10890118577075102
ROS1-07-0012,2024-07-27,0.20441626984126982,0.13350674603174603
ROS1-07-0011,2024-07-27,0.26830476190476193,0.11551825396825398
ROS1-15-0016,2024-07-27,0.6233746031746032,0.39534365079365075
ROS1-18-0007,2024-07-27,0.28832023809523816,0.10222857142857142
ROS1-19-0022,2024-07-27,0.7491181818181818,0.5228837944664032
ROS1-07-0018,2024-07-27,0.5127565217391304,0.24244901185770756
ROS1-13-0013,2024-07-27,0.39067905138339926,0.17612845849802372
ROS1-15-0006,2024-07-27,0.20432261904761906,0.09980277777777778
ROS1-16-0006,2024-07-27,0.6821698412698413,0.5013575396825398
ROS1-18-0009,2024-07-27,0.2632293650793651,0.14670158730158733
ROS1-01-0005,2024-07-27,0.24510079051383402,0.1345616600790514
ROS1-07-0002,2024-07-27,0.21456363636363637,0.1160498023715415
ROS1-13-0005,2024-07-27,0.34324960317460324,0.20551626984126986
ROS1-14-0017,2024-07-27,0.392904743083004,0.24658458498023714
ROS1-15-0004,2024-07-27,0.299986507936508,0.1423281746031746
ROS1-16-0004,2024-07-27,0.8207415019762846,0.6548403162055336
ROS1-18-0014,2024-07-27,0.2892454545454546,0.12240790513833992
ROS1-19-0018,2024-07-27,0.21057707509881426,0.13006916996047432
ROS1-01-0004,2024-07-27,0.7860719367588933,0.6624264822134387
ROS1-01-0007,2024-08-12,0.19526349206349206,0.08156388888888888
ROS1-01-0003,2024-08-12,0.20963478260869567,0.09504703557312254
ROS1-07-0012,2024-08-12,0.22190039682539683,0.1554373015873016
ROS1-07-0011,2024-08-12,0.22604126984126985,0.09741984126984127
ROS1-15-0016,2024-08-12,0.6547134920634922,0.4774936507936508
ROS1-18-0007,2024-08-12,0.2432761904761905,0.11165238095238096
ROS1-19-0022,2024-08-12,0.5808790513833992,0.39198418972332016
ROS1-07-0018,2024-08-12,0.4523604743083004,0.22041106719367587
ROS1-13-0013,2024-08-12,0.4083964426877471,0.2139422924901186
ROS1-15-0006,2024-08-12,0.21134365079365083,0.10422579365079368
ROS1-16-0006,2024-08-12,0.6661218253968254,0.4337880952380953
ROS1-18-0009,2024-08-12,0.22608293650793654,0.13285952380952384
ROS1-01-0005,2024-08-12,0.24547312252964432,0.11016719367588933
ROS1-07-0002,2024-08-12,0.23255415019762846,0.13527351778656124
ROS1-13-0005,2024-08-12,0.2674047619047619,0.16357182539682538
ROS1-14-0017,2024-08-12,0.42948972332015806,0.23462332015810275
ROS1-15-0004,2024-08-12,0.3093976190476191,0.18052222222222222
ROS1-16-0004,2024-08-12,0.6074944664031622,0.42761541501976286
ROS1-18-0014,2024-08-12,0.2941505928853755,0.15296877470355733
ROS1-19-0018,2024-08-12,0.21309683794466402,0.09552569169960475
ROS1-01-0004,2024-08-12,0.7502328063241107,0.5166727272727273
ROS1-01-0007,2024-08-28,0.21218373015873015,0.11182817460317458
ROS1-01-0003,2024-08-28,0.20405612648221347,0.098900790513834
ROS1-07-0012,2024-08-28,0.1907424603174603,0.1168047619047619
ROS1-07-0011,2024-08-28,0.18093333333333333,0.08971746031746032
ROS1-15-0016,2024-08-28,0.5813698412698413,0.28188174603174604
ROS1-18-0007,2024-08-28,0.22981785714285713,0.08959047619047619
ROS1-19-0022,2024-08-28,0.4084158102766799,0.23689604743083004
ROS1-07-0018,2024-08-28,0.37909723320158106,0.2094802371541502
ROS1-13-0013,2024-08-28,0.4024932806324111,0.17307944664031621
ROS1-15-0006,2024-08-28,0.19086071428571433,0.08369722222222223
ROS1-16-0006,2024-08-28,0.39649563492063494,0.22339642857142858
ROS1-18-0009,2024-08-28,0.1985123015873016,0.0847424603174603
ROS1-01-0005,2024-08-28,0.22274071146245059,0.1035936758893281
ROS1-07-0002,2024-08-28,0.24574229249011856,0.13906679841897232
ROS1-13-0005,2024-08-28,0.2373630952380953,0.11536269841269842
ROS1-14-0017,2024-08-28,0.3962217391304348,0.1977110671936759
ROS1-15-0004,2024-08-28,0.26096785714285714,0.12295396825396826
ROS1-16-0004,2024-08-28,0.3418446640316206,0.2276612648221344
ROS1-18-0014,2024-08-28,0.2509901185770751,0.11615375494071147
ROS1-19-0018,2024-08-28,0.22597707509881426,0.09938814229249011
ROS1-01-0004,2024-08-28,0.5184312252964427,0.33768893280632417
ROS1-01-0007,2024-09-13,0.33455476190476185,0.1832738095238095
