anon_polygon_id,date,landsat_ndvi,landsat_evi,landsat_ndwi
ROS1-15-0004,2024-04-13,0.2105259579735734,0.09491257934213909,-0.3067394056724834
ROS1-16-0004,2024-05-15,0.22484901012522607,0.08397795061514539,-0.25273807620537475
ROS1-15-0004,2024-05-31,0.3393764534857667,0.1947031780694395,-0.39647530508673506
ROS1-15-0004,2024-06-16,0.24504640898926802,0.1012970311151283,-0.3438728256866079
ROS1-16-0004,2024-06-16,0.6866047619647917,0.398870044803453,-0.572207792805559
ROS1-15-0004,2024-07-02,0.2246381308527074,0.10259256513314118,-0.3135856952905096
ROS1-16-0004,2024-07-02,0.8430822620123092,0.7252961411808404,-0.72682524406149
ROS1-15-0004,2024-07-18,0.22544529860868648,0.106056504987246,-0.309388225981816
ROS1-16-0004,2024-07-18,0.8183800630448442,0.6084994179855739,-0.7269828664637314
ROS1-15-0004,2024-08-03,0.22648697305302912,0.1406510891977213,-0.3070673575971526
ROS1-16-0004,2024-08-03,0.8352629709730897,0.6951991827566839,-0.6957246452123167
ROS1-15-0004,2024-08-19,0.22230221668479538,0.09959829424773857,-0.318325766952042
ROS1-16-0004,2024-08-19,0.4211821622975954,0.29556229826538877,-0.48746049096939564
ROS1-15-0004,2024-09-04,0.21654920113833037,0.10086698976459818,-0.3025602897081775
ROS1-15-0004,2024-09-20,0.20525214717214052,0.09349495660609666,-0.2915197927404526
ROS1-16-0004,2024-09-20,0.22560316980914127,0.17304704777310673,-0.3869676699148196
ROS1-15-0004,2024-10-06,0.204426475473448,0.09142572245294255,-0.3000774828901375
ROS1-16-0004,2024-10-06,0.20512179397025718,0.15552041138033987,-0.36492457572358167
ROS1-14-0017,2024-04-13,0.3136502644904772,0.1385875301339626,-0.3899438522907337
ROS1-14-0017,2024-05-31,0.42158542078937367,0.22322116469077558,-0.46150334403508986
ROS1-14-0017,2024-06-16,0.4294688966266228,0.2141844764477093,-0.4800480593044515
ROS1-14-0017,2024-07-02,0.376071849588397,0.20904187278213568,-0.46212134746663197
ROS1-14-0017,2024-07-18,0.31608882634200014,0.19859844996861026,-0.4118677404536766
ROS1-14-0017,2024-08-03,0.3001758234562399,0.15778225811561145,-0.3866925531745068
ROS1-14-0017,2024-08-19,0.3325470354643634,0.15397562585907082,-0.4125386776958445
ROS1-14-0017,2024-09-04,0.28483330899903436,0.15038794642791975,-0.36401092036284943
ROS1-14-0017,2024-09-20,0.24917240103099653,0.11770983698904353,-0.3554011419307639
