anon_polygon_id,date,landsat_ndvi,landsat_evi,landsat_ndwi
ROS1-19-0022,2024-04-06,0.1992006372303497,0.09026996354401974,-0.29013841177942373
ROS1-19-0022,2024-04-22,0.21293236832777757,0.0979816669994698,-0.3046710449623871
ROS1-19-0022,2024-05-24,0.23782230220329834,0.12247161806768392,-0.3282351152446181
ROS1-19-0022,2024-06-09,0.49157008683955056,0.28290612767532103,-0.49093005005381235
ROS1-19-0022,2024-06-25,0.7156897617501965,0.6045842778339038,-0.6501572884230669
ROS1-19-0022,2024-07-27,0.8584659856806867,0.672158818841729,-0.7791492530108017
ROS1-19-0022,2024-08-12,0.6495344946193763,0.5109781865609682,-0.612442764356149
ROS1-19-0022,2024-08-28,0.6917081499771138,0.47585965261097857,-0.6566817201802987
ROS1-19-0022,2024-09-13,0.37737179043787644,0.24797768432336967,-0.4977174816534217
ROS1-19-0022,2024-09-29,0.29551007576471516,0.22522008122729226,-0.46546241502302604
ROS1-18-0007,2024-04-06,0.6112230028565343,0.30721402755183397,-0.5912553493511741
ROS1-18-0007,2024-04-22,0.8236403300517505,0.5095800473920606,-0.7656422407957837
ROS1-18-0007,2024-05-24,0.8371338913761263,0.5518754505328607,-0.7709797948737975
ROS1-18-0007,2024-07-27,0.2016065610647967,0.09265133726669184,-0.2921209524026514
ROS1-18-0007,2024-08-28,0.19316755974160163,0.08677087035765461,-0.29596349635122543
ROS1-18-0007,2024-09-13,0.1889240588728517,0.07599154554258697,-0.28810610197605613
ROS1-18-0007,2024-09-29,0.19064452033002138,0.08508278327143948,-0.29802276966796026
ROS1-15-0016,2024-04-13,0.2120691965805512,0.10615816873078633,-0.3285002884055829
ROS1-15-0006,2024-04-13,0.46826391219880487,0.2514062069977318,-0.481473828368948
ROS1-15-0016,2024-05-31,0.32534387734797526,0.2179839993553006,-0.36343902863523325
ROS1-15-0016,2024-06-16,0.2556806245555573,0.10670809574040781,-0.3532185399158378
ROS1-15-0006,2024-06-16,0.3168455969158465,0.15738340885256957,-0.48852927553821635
ROS1-15-0016,2024-07-02,0.2146702373424598,0.09912458303401349,-0.3137403792263515
ROS1-15-0006,2024-07-02,0.2823294778942379,0.1423627535013908,-0.41228006053440214
ROS1-15-0016,2024-07-18,0.26436414898413985,0.1275350080688854,-0.3457053664971457
ROS1-15-0006,2024-07-18,0.2046321701732236,0.1160820442224999,-0.31484050019916426
ROS1-15-0006,2024-08-03,0.20678201273557595,0.11342601374757424,-0.3144498698530439
ROS1-15-0016,2024-08-19,0.6189448999045913,0.402794779817121,-0.5842502913967715
ROS1-15-0006,2024-08-19,0.19150630449291603,0.09091497466941223,-0.2945267840355397
ROS1-15-0016,2024-09-04,0.5180196416964279,0.36213353985132524,-0.5038892135255942
ROS1-15-0016,2024-09-20,0.4494716569644375,0.24494344905550364,-0.4841206387772196
ROS1-15-0006,2024-09-20,0.19067873258689327,0.08582188698714664,-0.29195076847525137
ROS1-15-0016,2024-10-06,0.2779279289156687,0.13881298172774065,-0.4077585711658308
ROS1-15-0006,2024-10-06,0.17736989135861592,0.07997389059236278,-0.28410218196264886
ROS1-07-0012,2024-04-13,0.6717085130997791,0.4173750194740142,-0.6393015156426394
ROS1-07-0011,2024-04-13,0.3846107744681427,0.1811484429339729,-0.4086996741976853
ROS1-19-0022,2024-04-13,0.2219056288002011,0.10320884990601106,-0.30799796347032915
ROS1-07-0018,2024-04-13,0.2236064480301562,0.08650246333461893,-0.2805599618464971
ROS1-13-0013,2024-04-13,0.33104394643996377,0.16316587001563831,-0.38814393811198866
ROS1-07-0012,2024-05-31,0.7975826559787036,0.5997719066493749,-0.7447154736718703
ROS1-07-0011,2024-05-31,0.7855448227224895,0.46094563456441334,-0.7122508332820561
ROS1-07-0012,2024-07-02,0.33665107599338695,0.19971640201464977,-0.4914511670719041
ROS1-07-0011,2024-07-02,0.2877312061796896,0.16388986448632165,-0.4375829721337178
ROS1-19-0022,2024-07-02,0.8734198681143421,0.6347603970759634,-0.7938104288816566
ROS1-07-0018,2024-07-02,0.34352448267983066,0.1966217249664007,-0.39759142837435774
ROS1-13-0013,2024-07-02,0.43166630077153656,0.22924827213815638,-0.4808273503441043
ROS1-07-0012,2024-07-18,0.21494896192149418,0.15437921127363555,-0.34543166362832395
ROS1-07-0011,2024-07-18,0.18404165359499078,0.11086252825262954,-0.30087850935487725
ROS1-19-0022,2024-07-18,0.8289375033346731,0.626068334723126,-0.7697089008221615
ROS1-07-0018,2024-07-18,0.34341650738878826,0.18608855463626242,-0.38453082855929727
ROS1-13-0013,2024-07-18,0.41052638969865585,0.2187174073160235,-0.46132302277418263
ROS1-07-0012,2024-08-03,0.22096643037686822,0.15833421427897912,-0.3646205430955453
ROS1-07-0011,2024-08-03,0.17795395404702344,0.09731667001303697,-0.2879259821716285
ROS1-19-0022,2024-08-03,0.828722908305043,0.6109327775860779,-0.7632429215222128
ROS1-07-0018,2024-08-03,0.4409252254428525,0.2128436152651078,-0.44921330109110763
ROS1-13-0013,2024-08-03,0.46817176283778084,0.2381918079753642,-0.5046539605216365
ROS1-07-0012,2024-08-19,0.1998011283588784,0.14012181561392492,-0.33037049672138374
ROS1-07-0011,2024-08-19,0.16810004190442948,0.09359250662172261,-0.2760372728149969
ROS1-19-0022,2024-08-19,0.7880750870974085,0.5345681587107832,-0.72524134410832
ROS1-07-0018,2024-08-19,0.4792090731774182,0.21423117564631275,-0.4943089358356883
ROS1-13-0013,2024-08-19,0.4549844755471938,0.23444971559210662,-0.49986631114042973
ROS1-19-0022,2024-09-04,0.5062480875840762,0.31775390152814426,-0.5408661065061283
ROS1-07-0012,2024-09-20,0.21896917886830905,0.12489122584950699,-0.32910561222036566
ROS1-07-0011,2024-09-20,0.17212970065324268,0.08896817945490909,-0.28282702210637056
ROS1-19-0022,2024-09-20,0.34863190506214814,0.2276927256694888,-0.5029691133239668
ROS1-07-0018,2024-09-20,0.5626459364277331,0.3590395534971661,-0.5666842518915897
ROS1-13-0013,2024-09-20,0.44853946204815387,0.2312660168117913,-0.4960901492721776
ROS1-07-0012,2024-10-06,0.20106887878476018,0.11597912035536642,-0.3206261908108537
ROS1-07-0011,2024-10-06,0.16614080031341147,0.08834947004505232,-0.2814050024093119
ROS1-19-0022,2024-10-06,0.2548072056672538,0.21017845036282157,-0.4238071909541568
ROS1-07-0018,2024-10-06,0.4968795063027206,0.29635334159988297,-0.5207998364387382
ROS1-13-0013,2024-10-06,0.43304077783967115,0.22082962190470296,-0.48919626814151845
ROS1-01-0003,2024-04-13,0.6015037594443303,0.34321593262916017,-0.5485751108944641
ROS1-07-0011,2024-04-13,0.38388685997065053,0.18071805070410896,-0.40825526249275157
ROS1-07-0018,2024-04-13,0.2223801732942306,0.08607218233125637,-0.2796221348351569
ROS1-01-0003,2024-04-29,0.5772263703548748,0.3957973123708276,-0.5310451796701227
ROS1-18-0007,2024-04-29,0.671181605038975,0.4280462302197668,-0.6336899190502007
ROS1-07-0018,2024-05-15,0.2750298199743056,0.11559182295850612,-0.30860918708267293
ROS1-07-0011,2024-05-31,0.7852840206533553,0.4601527300520301,-0.7120104274699292
ROS1-18-0007,2024-05-31,0.7661959951088045,0.49768030429446763,-0.7241835415360259
ROS1-01-0003,2024-07-02,0.2137019837587255,0.1578780426637425,-0.3646851860595784
ROS1-07-0011,2024-07-02,0.28859621374772737,0.1642714634884356,-0.43872138397152727
ROS1-18-0007,2024-07-02,0.2806499568351938,0.15273715574199526,-0.42435211596471506
ROS1-07-0018,2024-07-02,0.34967049529262056,0.19880108573493604,-0.40291276263777975
ROS1-01-0003,2024-07-18,0.18577422674876898,0.1165103954883526,-0.2959337531549948
ROS1-07-0011,2024-07-18,0.18414742372695725,0.11074751833267105,-0.3005966036637747
ROS1-18-0007,2024-07-18,0.20927984270732247,0.055752287948346496,-0.29365021138951247
ROS1-07-0018,2024-07-18,0.3465835860053058,0.18551958409402777,-0.38833442188104955
