anon_polygon_id,date,s2_ndvi,s2_evi,s2_ndwi
ROS1-18-0007,2024-04-01,0.4376912497260667,0.29023894284372165,-0.43330634080908315
ROS1-07-0018,2024-04-04,0.17426347482616092,0.04996877845800164,-0.2903016494340557
ROS1-13-0013,2024-04-04,0.29562871301955845,0.12430743205651189,-0.4010346419174664
ROS1-18-0007,2024-04-04,0.608411887078396,0.2768062450979424,-0.5767610542486713
ROS1-19-0022,2024-04-04,0.18263955677542743,0.057759489566560775,-0.29772288090503585
ROS1-18-0007,2024-04-06,0.5753300026382924,0.3375015876259079,-0.5538325469304388
ROS1-19-0022,2024-04-06,0.16849105323765187,0.07810247314603887,-0.2817403657254703
ROS1-07-0018,2024-04-07,0.17905663760471735,0.050665882047113066,-0.2809517963379346
ROS1-15-0006,2024-04-07,0.43916148842462843,0.19591445391243711,-0.509899413725671
ROS1-07-0018,2024-04-09,0.18507704928229007,0.06761453593241551,-0.27531810591441486
ROS1-13-0013,2024-04-09,0.300409140544359,0.16043639181692887,-0.378349732662069
ROS1-18-0007,2024-04-09,0.6397769923480513,0.3770378766734461,-0.605153485425277
ROS1-19-0022,2024-04-09,0.1747077578971451,0.0793141288533837,-0.2839467691968775
ROS1-15-0006,2024-04-09,0.37392161687859893,0.23259110213647124,-0.3838344051130897
ROS1-18-0007,2024-04-11,0.6446739175292828,0.42411944739175483,-0.5974080950213232
ROS1-19-0022,2024-04-11,0.17251529108921448,0.08397456521019343,-0.2691987547561559
ROS1-07-0018,2024-04-14,0.18691088900556355,0.156794328536445,-0.21522191242891617
ROS1-13-0013,2024-04-14,0.27025662386408017,0.16220709441975315,-0.33179562793665635
ROS1-18-0007,2024-04-14,0.6743626214368352,0.4748643291996516,-0.6175658763583523
ROS1-19-0022,2024-04-14,0.15710084103295074,0.06937800008103996,-0.24251285713690918
ROS1-18-0007,2024-04-14,0.6775129900706058,0.47498920719219834,-0.6212303107134007
ROS1-07-0018,2024-04-17,0.1999225646137798,0.09231958279247922,-0.2905702936754704
ROS1-15-0006,2024-04-19,0.5235974469900846,0.34749975614737166,-0.5102185435069001
ROS1-07-0018,2024-04-22,0.1910044467040359,0.0656987626429036,-0.2982576659940515
ROS1-15-0006,2024-04-22,0.6141700340479304,0.3184363460982175,-0.6016878364864762
ROS1-18-0007,2024-04-26,0.5400021261069499,0.5302207222739662,-0.5176484755668436
ROS1-19-0022,2024-04-26,0.17923463121225003,0.153064139112677,-0.22710484250752802
ROS1-15-0006,2024-05-02,0.556998760336324,0.36694251211999607,-0.5332849298299103
ROS1-07-0018,2024-05-02,0.21373438181278534,0.08412855487803249,-0.3009365974816393
ROS1-07-0018,2024-05-04,0.19352605252053476,0.08088441762701451,-0.29895949577293557
ROS1-13-0013,2024-05-04,0.41529182666648146,0.22021159076932398,-0.46275364694280374
ROS1-18-0007,2024-05-04,0.8477547429482359,0.5702704495516037,-0.7738790628657173
ROS1-19-0022,2024-05-04,0.1810801394737976,0.0854708815134711,-0.30583592965007583
ROS1-15-0006,2024-05-04,0.672504030656736,0.3663896843676153,-0.6469462848011323
ROS1-18-0007,2024-05-06,0.8553104972198622,0.6545538672704113,-0.7777400898631868
ROS1-19-0022,2024-05-06,0.16046870906091823,0.0847252260744291,-0.284266932524733
ROS1-07-0018,2024-05-07,0.20397817635008583,0.07756091209427031,-0.2962834557455583
ROS1-15-0006,2024-05-07,0.6231336395513011,0.32640550468346863,-0.604386482738326
ROS1-07-0018,2024-05-09,0.21861556881047767,0.09874079381243345,-0.30800128062573834
ROS1-13-0013,2024-05-09,0.4368221866365655,0.24159093187581893,-0.4788370845060478
ROS1-15-0006,2024-05-09,0.6309419958509458,0.3514980782197855,-0.6159891422939447
ROS1-18-0007,2024-05-11,0.8370684055359632,0.6804797699761375,-0.76136810042625
ROS1-19-0022,2024-05-11,0.16150948995455416,0.08020704774612461,-0.2847059326249335
ROS1-07-0018,2024-05-12,0.20967725335421633,0.1212374133351808,-0.2678927738411356
ROS1-15-0006,2024-05-12,0.6291381611278251,0.3842728161542387,-0.6089276723867781
ROS1-15-0006,2024-05-14,0.5444638591750071,0.4475999304971177,-0.5345759493817205
ROS1-15-0006,2024-05-17,0.6709712643506164,0.381464362130483,-0.6622832974802071
ROS1-07-0018,2024-05-19,0.24291546291835503,0.12080408177180466,-0.2895163783665062
ROS1-13-0013,2024-05-19,0.330530200762433,0.23513396388194524,-0.358598654423923
ROS1-18-0007,2024-05-21,0.8183966762615482,0.5987740412733559,-0.7429987670010776
ROS1-19-0022,2024-05-21,0.1628267765789602,0.08605876554764388,-0.28059449604582015
ROS1-07-0018,2024-05-22,0.29027831383489017,0.11088624654858532,-0.3611990426629176
ROS1-15-0006,2024-05-22,0.5454822132172209,0.34219030381286425,-0.548465055468776
ROS1-15-0006,2024-05-24,0.5543580685316984,0.31111573697392875,-0.5795688034624142
ROS1-07-0018,2024-05-24,0.25826846415854665,0.10921349197812451,-0.3422373144768805
ROS1-13-0013,2024-05-24,0.3405823759255595,0.17968164430710196,-0.4209756227074125
ROS1-18-0007,2024-05-24,0.8058290634336585,0.5235686238498051,-0.7381102968659045
ROS1-19-0022,2024-05-24,0.18963152929112911,0.09152467528444659,-0.30136502425348083
ROS1-15-0006,2024-05-24,0.5570959475693174,0.30991112372523116,-0.5852717680781173
ROS1-15-0006,2024-05-27,0.48165535551901545,0.16157138166511884,-0.4935917851750273
ROS1-19-0022,2024-05-29,0.20313568873103055,0.13724567805877871,-0.2611016985921114
ROS1-15-0006,2024-05-29,0.4469022776773988,0.27320203855491715,-0.48675142438710256
ROS1-07-0018,2024-06-01,0.32007072568813905,0.13765821305626444,-0.3858363996195111
