cell_id,date,era5_temp_c,era5_precip_mm
40.1_48.1,2024-04-01,13.775936381022177,8.52346317969932E-4
40.2_46.7,2024-04-01,15.000057474772177,8.52346317969932E-4
40.2_49.6,2024-04-01,13.981828308105491,8.52346317969932E-4
40.3_48.7,2024-04-01,14.194718933105491,8.52346317969932E-4
40.4_49.2,2024-04-01,14.253882344563806,8.52346317969932E-4
40.7_47.2,2024-04-01,14.800920104980491,8.52346317969932E-4
40.8_46.7,2024-04-01,14.539201354980491,8.52346317969932E-4
40.9_46.3,2024-04-01,14.677873229980491,8.52346317969932E-4
41.0_46.6,2024-04-01,14.392716979980491,8.52346317969932E-4
41.0_46.8,2024-04-01,14.445369974772177,8.52346317969932E-4
40.1_48.1,2024-04-02,15.815497970581077,0.0012889495337731205
40.2_46.7,2024-04-02,16.746162033081077,0.0012889495337731205
40.2_49.6,2024-04-02,16.243964767456077,0.0012889495337731205
40.3_48.7,2024-04-02,16.320055262247763,0.0012889495337731205
40.4_49.2,2024-04-02,16.364732996622763,0.0012889495337731205
40.7_47.2,2024-04-02,16.716539637247763,0.0012889495337731205
40.8_46.7,2024-04-02,16.380520757039392,0.0012889495337731205
40.9_46.3,2024-04-02,16.421617762247763,0.0012889495337731205
41.0_46.6,2024-04-02,16.096259689331077,0.0012889495337731205
41.0_46.8,2024-04-02,16.077705001831077,0.0012889495337731205
40.1_48.1,2024-04-03,13.698971048990927,2.938181161880493
40.2_46.7,2024-04-03,14.690507507324241,6.581813097000122
40.2_49.6,2024-04-03,13.756995137532556,1.2753009796142578
40.3_48.7,2024-04-03,14.210852559407556,1.705944538116455
40.4_49.2,2024-04-03,14.176265970865927,1.6019046306610107
40.7_47.2,2024-04-03,15.328040059407556,9.462147951126099
40.8_46.7,2024-04-03,15.059485371907556,9.413868188858032
40.9_46.3,2024-04-03,15.419023132324241,10.01778244972229
41.0_46.6,2024-04-03,15.140051778157556,10.678380727767944
41.0_46.8,2024-04-03,14.952958679199241,10.719329118728638
40.1_48.1,2024-04-04,12.581327692667685,0.035249647112323146
40.2_46.7,2024-04-04,12.811226781209314,0.09454136750264297
40.2_49.6,2024-04-04,12.176705296834314,0.04322176835103164
40.3_48.7,2024-04-04,12.987821833292685,0.023820456476641994
40.4_49.2,2024-04-04,12.810412979126,0.0673169460014833
40.7_47.2,2024-04-04,13.415800348917685,0.1636529531197084
40.8_46.7,2024-04-04,12.759224828084314,0.6018215980247987
40.9_46.3,2024-04-04,12.580188369751,0.5637789334969057
41.0_46.6,2024-04-04,12.687040583292685,0.5773836936668886
41.0_46.8,2024-04-04,12.768339411417685,0.6481940116600526
40.1_48.1,2024-04-05,8.948782857259118,4.351138613856165E-4
40.2_46.7,2024-04-05,11.736299133300804,1.703816652252499
40.2_49.6,2024-04-05,7.301240539550804,0.0032961368106043665
40.3_48.7,2024-04-05,9.14368845621749,4.351138613856165E-4
40.4_49.2,2024-04-05,8.33485056559249,0.022891163780514034
40.7_47.2,2024-04-05,12.097464497884118,0.523599982216183
40.8_46.7,2024-04-05,11.89905954996749,1.4522999524615443
40.9_46.3,2024-04-05,11.916230773925804,1.1960297822497523
41.0_46.6,2024-04-05,11.860810852050804,1.9449770450137294
41.0_46.8,2024-04-05,11.892549133300804,1.541140675499264
40.1_48.1,2024-04-06,8.612098312377952,8.52346317969932E-4
40.2_46.7,2024-04-06,10.057899093627952,8.52346317969932E-4
40.2_49.6,2024-04-06,7.607052739461267,0.06701350201865353
40.3_48.7,2024-04-06,8.578406906127952,8.52346317969932E-4
40.4_49.2,2024-04-06,8.083371098836267,0.0011652707030407328
40.7_47.2,2024-04-06,10.185666020711267,8.52346317969932E-4
40.8_46.7,2024-04-06,10.074012374877952,8.52346317969932E-4
40.9_46.3,2024-04-06,10.788205083211267,8.52346317969932E-4
41.0_46.6,2024-04-06,10.312537765502952,8.52346317969932E-4
41.0_46.8,2024-04-06,9.770138676961267,8.52346317969932E-4
40.1_48.1,2024-04-07,12.090485509236657,0.23848414417670938
40.2_46.7,2024-04-07,12.916901524861657,0.0012874602930423862
40.2_49.6,2024-04-07,11.955557123820029,0.15007555481361123
40.3_48.7,2024-04-07,12.453603998820029,0.2128839492456791
40.4_49.2,2024-04-07,12.369701004028343,0.1747965812342045
40.7_47.2,2024-04-07,13.178376134236657,0.0012874602930423862
40.8_46.7,2024-04-07,12.855296707153343,0.0012874602930423862
40.9_46.3,2024-04-07,12.845856602986657,0.0012874602930423862
41.0_46.6,2024-04-07,12.548818842570029,0.0012874602930423862
41.0_46.8,2024-04-07,12.600658035278343,0.0012874602930423862
40.1_48.1,2024-04-08,14.367641703287802,8.404254572269565E-4
40.2_46.7,2024-04-08,14.43030446370443,8.702277796146518E-4
40.2_49.6,2024-04-08,14.42566579182943,8.702277796146518E-4
40.3_48.7,2024-04-08,15.635301208496116,8.404254572269565E-4
40.4_49.2,2024-04-08,15.431443786621116,8.404254572269565E-4
40.7_47.2,2024-04-08,15.355760192871116,8.702277796146518E-4
40.8_46.7,2024-04-08,14.045864359537802,8.702277796146518E-4
40.9_46.3,2024-04-08,14.35535329182943,8.702277796146518E-4
41.0_46.6,2024-04-08,13.853318786621116,8.702277796146518E-4
41.0_46.8,2024-04-08,13.97376149495443,8.702277796146518E-4
40.1_48.1,2024-04-09,14.78102518717452,0.0017131802110270655
40.2_46.7,2024-04-09,14.70412089029952,0.0017131802110270655
40.2_49.6,2024-04-09,15.263040161132835,0.0017131802110270655
40.3_48.7,2024-04-09,16.144387817382835,0.0017131802110270655
40.4_49.2,2024-04-09,16.02899068196615,0.0017131802110270655
40.7_47.2,2024-04-09,14.764016723632835,0.0017131802110270655
40.8_46.7,2024-04-09,14.30169576009115,0.0017131802110270655
40.9_46.3,2024-04-09,14.45045878092452,0.0017131802110270655
41.0_46.6,2024-04-09,14.16839497884115,0.0017131802110270655
41.0_46.8,2024-04-09,14.26002909342452,0.0017131802110270655
40.1_48.1,2024-04-10,14.834242757161462,2.92232016363414E-7
40.2_46.7,2024-04-10,15.712253824869833,2.92232016363414E-7
40.2_49.6,2024-04-10,16.223158772786462,2.92232016363414E-7
40.3_48.7,2024-04-10,16.331231689453148,2.92232016363414E-7
40.4_49.2,2024-04-10,16.470391845703148,2.92232016363414E-7
40.7_47.2,2024-04-10,15.459079996744833,2.92232016363414E-7
40.8_46.7,2024-04-10,15.359063720703148,2.92232016363414E-7
40.9_46.3,2024-04-10,15.574314371744833,2.92232016363414E-7
41.0_46.6,2024-04-10,15.284438069661462,2.92232016363414E-7
41.0_46.8,2024-04-10,15.240981038411462,2.92232016363414E-7
40.1_48.1,2024-04-11,16.535437520345056,0.0
40.2_46.7,2024-04-11,17.153113301595056,0.0
40.2_49.6,2024-04-11,18.35884246826174,0.0
40.3_48.7,2024-04-11,18.52168426513674,0.0
40.4_49.2,2024-04-11,18.46186981201174,0.0
40.7_47.2,2024-04-11,17.488643900553427,0.0
40.8_46.7,2024-04-11,17.146033223470056,0.0
40.9_46.3,2024-04-11,16.84785614013674,0.0
41.0_46.6,2024-04-11,16.697058614095056,0.0
41.0_46.8,2024-04-11,17.215450541178427,0.0
40.1_48.1,2024-04-12,18.019820785522484,0.060558319091796875
40.2_46.7,2024-04-12,17.659306462605798,0.0
40.2_49.6,2024-04-12,17.458785629272484,1.529395580291748
40.3_48.7,2024-04-12,19.08834292093917,0.0
40.4_49.2,2024-04-12,18.578902816772484,0.04869699478149414
40.7_47.2,2024-04-12,18.87813784281417,0.0
40.8_46.7,2024-04-12,17.961308415730798,0.0
40.9_46.3,2024-04-12,17.314742660522484,0.152587890625
41.0_46.6,2024-04-12,17.684697087605798,0.0
41.0_46.8,2024-04-12,17.871383285522484,0.0
40.1_48.1,2024-04-13,16.223759587605798,0.001960992790372984
40.2_46.7,2024-04-13,16.825728988647484,0.08145868775955023
40.2_49.6,2024-04-13,14.581669743855798,0.0017225742112714215
40.3_48.7,2024-04-13,16.112838363647484,0.0017225742112714215
40.4_49.2,2024-04-13,15.41939760843917,0.0017225742112714215
40.7_47.2,2024-04-13,17.795943832397484,0.07299482820144476
40.8_46.7,2024-04-13,16.897750473022484,0.16705095765701117
40.9_46.3,2024-04-13,16.761601384480798,0.39058327672591986
41.0_46.6,2024-04-13,16.747441228230798,0.3190875053178388
41.0_46.8,2024-04-13,16.940800603230798,0.06646811959853949
40.1_48.1,2024-04-14,15.059943771362327,0.014075636858734697
40.2_46.7,2024-04-14,16.001350021362327,8.583068797918258E-4
40.2_49.6,2024-04-14,14.504686609904013,0.0433117151210638
40.3_48.7,2024-04-14,15.690396245320642,0.06131231784323177
40.4_49.2,2024-04-14,15.312710698445642,0.05126893519857845
40.7_47.2,2024-04-14,16.825731531779013,0.005522370333466142
40.8_46.7,2024-04-14,15.989305750529013,0.0015586614559026657
40.9_46.3,2024-04-14,15.784797286987327,0.01614689826467952
41.0_46.6,2024-04-14,15.837368901570642,8.583068797918258E-4
41.0_46.8,2024-04-14,15.989468510945642,9.626150081487594E-4
40.1_48.1,2024-04-15,15.835385894775413,4.49776649463729
40.2_46.7,2024-04-15,16.633807118733728,1.4591664074714572
40.2_49.6,2024-04-15,13.910337066650413,10.051071643715659
40.3_48.7,2024-04-15,16.0721209208171,6.36592507350997
40.4_49.2,2024-04-15,14.898211415608728,8.96909832943038
40.7_47.2,2024-04-15,17.148455556233728,0.7249265908058078
40.8_46.7,2024-04-15,16.4302752176921,1.2043416498954684
40.9_46.3,2024-04-15,16.200864410400413,0.835433602219382
41.0_46.6,2024-04-15,16.301775868733728,0.8711516856010348
41.0_46.8,2024-04-15,16.5201189676921,0.7057785986717136
40.1_48.1,2024-04-16,17.038805898030603,0.024658441589053837
40.2_46.7,2024-04-16,19.18642959594729,4.291534878575476E-4
40.2_49.6,2024-04-16,13.526843007405603,2.52785980705994
40.3_48.7,2024-04-16,17.331367746988974,1.178634166763004
40.4_49.2,2024-04-16,16.10586318969729,2.87195742134827
40.7_47.2,2024-04-16,19.44131240844729,4.291534878575476E-4
40.8_46.7,2024-04-16,18.982002512613974,4.291534878575476E-4
40.9_46.3,2024-04-16,19.007881418863974,4.291534878575476E-4
41.0_46.6,2024-04-16,18.818428293863974,4.291534878575476E-4
41.0_46.8,2024-04-16,18.979479726155603,4.291534878575476E-4
40.1_48.1,2024-04-17,19.248307164510095,0.02099735314686768
40.2_46.7,2024-04-17,20.936783727010095,4.188495381640678E-4
40.2_49.6,2024-04-17,18.653824742635095,4.188495381640678E-4
40.3_48.7,2024-04-17,19.934342320760095,0.003443785260515142
40.4_49.2,2024-04-17,19.438492711385095,0.014232225964860845
40.7_47.2,2024-04-17,21.458023961385095,4.188495381640678E-4
40.8_46.7,2024-04-17,21.237402216593466,4.188495381640678E-4
40.9_46.3,2024-04-17,21.223160680135095,4.188495381640678E-4
41.0_46.6,2024-04-17,21.14055976867678,4.188495381640678E-4
41.0_46.8,2024-04-17,21.310156122843466,4.188495381640678E-4
40.1_48.1,2024-04-18,20.238865788777673,0.5153119564056396
40.2_46.7,2024-04-18,21.653742090861044,1.2164413928985596
40.2_49.6,2024-04-18,20.20704612731936,0.12934207916259766
40.3_48.7,2024-04-18,21.227879460652673,0.021398067474365234
40.4_49.2,2024-04-18,20.852228418986044,0.6981492042541504
40.7_47.2,2024-04-18,21.776707585652673,0.03355741500854492
40.8_46.7,2024-04-18,21.384699122111044,0.3789365291595459
40.9_46.3,2024-04-18,21.603449122111044,0.4061758518218994
41.0_46.6,2024-04-18,21.192723210652673,0.8329451084136963
41.0_46.8,2024-04-18,21.363621648152673,0.029742717742919922
40.1_48.1,2024-04-19,14.11241175333663,1.9043266772200695
40.2_46.7,2024-04-19,14.533228810628259,2.058345079319679
40.2_49.6,2024-04-19,13.44834925333663,0.23399591435691036
40.3_48.7,2024-04-19,14.80064417521163,1.4841437338759533
40.4_49.2,2024-04-19,14.33018519083663,0.6295919417311779
40.7_47.2,2024-04-19,15.50157190958663,1.2454569338729016
40.8_46.7,2024-04-19,15.258977508544945,1.9249498843123547
40.9_46.3,2024-04-19,15.59288050333663,1.4718055724074475
41.0_46.6,2024-04-19,15.442896779378259,1.5656828879286877
41.0_46.8,2024-04-19,15.56456019083663,1.4757394789626233
40.1_48.1,2024-04-20,15.086880620320642,0.0
40.2_46.7,2024-04-20,16.745653406779013,0.0
40.2_49.6,2024-04-20,13.936896896362327,0.0
40.3_48.7,2024-04-20,15.497932052612327,0.0
40.4_49.2,2024-04-20,14.815233484904013,0.002771615982055664
40.7_47.2,2024-04-20,16.641649500529013,0.0
40.8_46.7,2024-04-20,17.126024500529013,0.0
40.9_46.3,2024-04-20,17.590868250529013,0.0027418136596679688
41.0_46.6,2024-04-20,17.319546635945642,0.0
41.0_46.8,2024-04-20,17.200650151570642,0.0
40.1_48.1,2024-04-21,16.222608184814476,1.4096200466156006
40.2_46.7,2024-04-21,16.670606231689476,0.5175769329071045
40.2_49.6,2024-04-21,16.436719512939476,3.793060779571533
40.3_48.7,2024-04-21,16.822217559814476,4.4696033000946045
40.4_49.2,2024-04-21,16.79983800252279,4.845649003982544
40.7_47.2,2024-04-21,17.72513097127279,0.3198981285095215
40.8_46.7,2024-04-21,17.17711664835616,0.25773048400878906
40.9_46.3,2024-04-21,17.18118565877279,0.31441450119018555
41.0_46.6,2024-04-21,17.25499750773116,0.28502941131591797
41.0_46.8,2024-04-21,17.42833735148116,0.3344714641571045
40.1_48.1,2024-04-22,13.566895421346032,0.221747159912411
40.2_46.7,2024-04-22,14.677572504679404,0.20282268519622448
40.2_49.6,2024-04-22,12.890707270304404,8.523463748133508E-4
40.3_48.7,2024-04-22,13.992513910929404,8.523463748133508E-4
40.4_49.2,2024-04-22,13.499268468221032,8.523463748133508E-4
40.7_47.2,2024-04-22,15.329997634887718,0.05466043944579724
40.8_46.7,2024-04-22,14.676189041137718,0.05942881102782849
40.9_46.3,2024-04-22,14.683269119262718,0.047358870460811886
41.0_46.6,2024-04-22,14.590007400512718,0.07762312884551648
41.0_46.8,2024-04-22,14.859701410929404,0.014010071708980831
40.1_48.1,2024-04-23,13.866351064046228,0.6386691030115799
40.2_46.7,2024-04-23,15.003395334879599,0.024934976920576446
40.2_49.6,2024-04-23,12.168027496337913,0.9135210212320999
40.3_48.7,2024-04-23,13.648414866129599,0.9783112701029495
40.4_49.2,2024-04-23,13.116676584879599,0.9365433152765945
40.7_47.2,2024-04-23,15.770322418212913,0.15010473094889676
40.8_46.7,2024-04-23,15.268532053629599,0.09820398651072537
40.9_46.3,2024-04-23,15.569557444254599,0.00691947303721463
41.0_46.6,2024-04-23,15.195696767171228,0.0706964429468826
41.0_46.8,2024-04-23,15.560849761962913,0.14056798778483426
40.1_48.1,2024-04-24,14.690074539184593,0.10725908892439406
40.2_46.7,2024-04-24,17.58330370585128,0.42741053717421096
40.2_49.6,2024-04-24,12.721324539184593,1.2250100912361006
40.3_48.7,2024-04-24,14.598196283976279,0.02171152251051467
40.4_49.2,2024-04-24,13.696340815226279,1.0412936748771529
40.7_47.2,2024-04-24,17.541230138142907,8.647980003217981E-4
40.8_46.7,2024-04-24,17.49394823710128,0.0336026491432051
40.9_46.3,2024-04-24,17.839244461059593,0.3037607015876631
41.0_46.6,2024-04-24,17.439179356892907,8.349956779341028E-4
41.0_46.8,2024-04-24,17.553681310017907,8.647980003217981E-4
40.1_48.1,2024-04-25,21.46576334635421,0.047820806400977744
40.2_46.7,2024-04-25,23.118025716145837,8.52346317969932E-4
40.2_49.6,2024-04-25,19.931990559895837,0.347006320851051
40.3_48.7,2024-04-25,21.352400716145837,0.0964283942153088
40.4_49.2,2024-04-25,20.53729654947921,0.3423869608809582
40.7_47.2,2024-04-25,22.522078450520837,8.52346317969932E-4
40.8_46.7,2024-04-25,22.323022460937523,8.52346317969932E-4
40.9_46.3,2024-04-25,22.669946289062523,8.52346317969932E-4
41.0_46.6,2024-04-25,22.077498372395837,8.52346317969932E-4
41.0_46.8,2024-04-25,22.07635904947921,8.52346317969932E-4
40.1_48.1,2024-04-26,21.02100270589193,0.0010132790180250595
40.2_46.7,2024-04-26,22.213955179850302,0.040769577083210606
40.2_49.6,2024-04-26,20.582607523600302,0.22801756864510025
40.3_48.7,2024-04-26,21.245205179850302,5.6843418860808015E-11
40.4_49.2,2024-04-26,20.881923929850302,0.0478029251667067
40.7_47.2,2024-04-26,21.980068461100302,5.6843418860808015E-11
40.8_46.7,2024-04-26,21.681809997558616,5.6843418860808015E-11
40.9_46.3,2024-04-26,21.96582692464193,5.6843418860808015E-11
41.0_46.6,2024-04-26,21.464443461100302,5.6843418860808015E-11
41.0_46.8,2024-04-26,21.535081481933616,5.6843418860808015E-11
40.1_48.1,2024-04-27,19.51881879170736,0.0021421217866191
40.2_46.7,2024-04-27,19.64967816670736,0.0036024355836161703
40.2_49.6,2024-04-27,19.922790145874046,0.01555316686108199
40.3_48.7,2024-04-27,19.666116968790732,0.07629029988720504
40.4_49.2,2024-04-27,19.626159286499046,0.07098548650219527
40.7_47.2,2024-04-27,19.578958765665732,0.010963609213376913
40.8_46.7,2024-04-27,18.955993270874046,0.06931655644848433
40.9_46.3,2024-04-27,18.95558636983236,0.36239259480908004
41.0_46.6,2024-04-27,18.734069442749046,0.28672449826672164
41.0_46.8,2024-04-27,18.97462933858236,0.2959632182069072
40.1_48.1,2024-04-28,19.764374033610068,0.01854211643603776
40.2_46.7,2024-04-28,20.785451507568382,0.1149526293602321
40.2_49.6,2024-04-28,19.914439137776696,0.0025680716362330713
40.3_48.7,2024-04-28,20.254608408610068,0.0025680716362330713
40.4_49.2,2024-04-28,20.188202158610068,0.0025680716362330713
40.7_47.2,2024-04-28,20.929413096110068,0.07468969181445573
40.8_46.7,2024-04-28,20.680796559651696,0.037004655155215005
40.9_46.3,2024-04-28,20.910288747151696,0.0025978739586207666
41.0_46.6,2024-04-28,20.614471689860068,0.002925699504885415
41.0_46.8,2024-04-28,20.712127939860068,0.015755599292788247
40.1_48.1,2024-04-29,16.84785868326827,0.99327101283464
40.2_46.7,2024-04-29,19.81978251139327,0.7660879092732387
40.2_49.6,2024-04-29,15.0001210530599,3.613267679742904
40.3_48.7,2024-04-29,16.541543579101585,1.7450941997090297
40.4_49.2,2024-04-29,15.705850219726585,4.17019857936296
40.7_47.2,2024-04-29,19.6788319905599,0.2493007379094081
40.8_46.7,2024-04-29,19.85786844889327,1.3092948394337611
40.9_46.3,2024-04-29,20.60835673014327,0.6587846475163417
41.0_46.6,2024-04-29,19.991250610351585,1.0937793450871425
41.0_46.8,2024-04-29,19.83784891764327,0.9579999642888026
40.1_48.1,2024-04-30,14.86530710856124,8.691991233433782E-4
40.2_46.7,2024-04-30,15.12946726481124,0.4856486762427892
40.2_49.6,2024-04-30,14.723542785644554,8.542979621495306E-4
40.3_48.7,2024-04-30,15.43293406168624,8.691991233433782E-4
40.4_49.2,2024-04-30,15.044669087727868,8.691991233433782E-4
40.7_47.2,2024-04-30,15.663565572102868,0.15850858339305773
40.8_46.7,2024-04-30,14.454255676269554,0.9877284015082921
40.9_46.3,2024-04-30,13.855948384602868,2.311845585193595
41.0_46.6,2024-04-30,14.16218210856124,1.7065008128547277
41.0_46.8,2024-04-30,14.510245259602868,0.9791751349830236
40.1_48.1,2024-05-01,15.780738449096702,8.52346317969932E-4
40.2_46.7,2024-05-01,15.258521652221702,8.52346317969932E-4
40.2_49.6,2024-05-01,16.545875167846702,8.52346317969932E-4
40.3_48.7,2024-05-01,16.579973475138388,8.52346317969932E-4
40.4_49.2,2024-05-01,16.574765141805017,8.52346317969932E-4
40.7_47.2,2024-05-01,16.381649907430017,8.52346317969932E-4
40.8_46.7,2024-05-01,14.545305506388388,0.0033110379149547953
40.9_46.3,2024-05-01,13.616024907430017,2.694907784359657
41.0_46.6,2024-05-01,14.044247563680017,0.012996792690955772
41.0_46.8,2024-05-01,14.790422693888388,8.52346317969932E-4
40.1_48.1,2024-05-02,16.197387313842796,0.05387067784567989
40.2_46.7,2024-05-02,17.273315048217796,8.52346317969932E-4
40.2_49.6,2024-05-02,14.54707806905111,3.9055526255538098
40.3_48.7,2024-05-02,16.16475385030111,1.837867498295509
40.4_49.2,2024-05-02,15.17891400655111,2.8639912604262463
40.7_47.2,2024-05-02,17.99922650655111,8.52346317969932E-4
40.8_46.7,2024-05-02,17.457559839884482,8.52346317969932E-4
40.9_46.3,2024-05-02,16.708861923217796,8.52346317969932E-4
41.0_46.6,2024-05-02,17.124796168009482,8.52346317969932E-4
41.0_46.8,2024-05-02,17.53120892842611,8.52346317969932E-4
40.1_48.1,2024-05-03,13.930743153889978,0.0010132789611816406
40.2_46.7,2024-05-03,17.214597320556663,0.0011622905731201172
40.2_49.6,2024-05-03,10.725339508056663,0.0
40.3_48.7,2024-05-03,13.257566070556663,0.034332275390625
40.4_49.2,2024-05-03,11.729164377848349,0.0
40.7_47.2,2024-05-03,17.020749664306663,0.0
40.8_46.7,2024-05-03,16.984698232014978,0.0021457672119140625
40.9_46.3,2024-05-03,17.150632476806663,0.013172626495361328
41.0_46.6,2024-05-03,16.94840265909835,0.0053942203521728516
41.0_46.8,2024-05-03,16.84098078409835,0.0
40.1_48.1,2024-05-04,7.550914382934593,0.0012814998058274796
40.2_46.7,2024-05-04,10.701223627726279,0.0012814998058274796
40.2_49.6,2024-05-04,6.466523106892907,0.0012814998058274796
40.3_48.7,2024-05-04,7.696991856892907,0.0012814998058274796
40.4_49.2,2024-05-04,6.969290033976279,0.0012814998058274796
40.7_47.2,2024-05-04,10.081757481892907,0.0012814998058274796
40.8_46.7,2024-05-04,10.338674799601279,0.0012814998058274796
40.9_46.3,2024-05-04,10.971894200642907,0.0012814998058274796
41.0_46.6,2024-05-04,10.367564773559593,0.0012814998058274796
41.0_46.8,2024-05-04,10.061249669392907,0.0012814998058274796
40.1_48.1,2024-05-05,9.99373842875167,8.702278364580707E-4
40.2_46.7,2024-05-05,10.93563296000167,8.702278364580707E-4
40.2_49.6,2024-05-05,11.362960433959984,8.702278364580707E-4
40.3_48.7,2024-05-05,11.046635564168298,8.702278364580707E-4
40.4_49.2,2024-05-05,11.077885564168298,8.702278364580707E-4
