anon_polygon_id,date,s2_ndvi,s2_evi,s2_ndwi
ROS1-01-0003,2024-04-02,0.42153630458675573,0.29793977381067743,-0.412235013949147
ROS1-07-0011,2024-04-02,0.2905311949266903,0.15876957620572277,-0.33627785427419815
ROS1-07-0011,2024-04-02,0.337115465950328,0.1579497347936396,-0.42493145007096944
ROS1-07-0011,2024-04-02,0.29601858822512994,0.1594071020193588,-0.3447565168703825
ROS1-07-0012,2024-04-02,0.44469093999908677,0.2773016568956872,-0.47239796213266394
ROS1-07-0011,2024-04-02,0.30589459846374767,0.15916683788211852,-0.36336259337099824
ROS1-01-0003,2024-04-04,0.5104512064847847,0.28568883799939904,-0.4824665865256523
ROS1-07-0011,2024-04-04,0.31304427061969003,0.12815958935082702,-0.37598048125696587
ROS1-01-0007,2024-04-04,0.4628060561144422,0.22645507005762047,-0.4668939843517913
ROS1-07-0011,2024-04-04,0.314416500818522,0.12799896865508084,-0.37903409520628273
ROS1-07-0011,2024-04-04,0.3103484183184081,0.12847019080908526,-0.3692664646044901
ROS1-07-0012,2024-04-04,0.5108385251971781,0.30791077406788836,-0.5218694662651565
ROS1-07-0011,2024-04-04,0.3118131909497731,0.12878928326865233,-0.37174162056820664
ROS1-15-0016,2024-04-04,0.1624250749607317,0.08184781016237656,-0.30576155646636194
ROS1-01-0003,2024-04-07,0.5119574370022727,0.27489089776165515,-0.4827393977448933
ROS1-07-0011,2024-04-07,0.3233823456745302,0.12857671983354774,-0.3779859797821775
ROS1-01-0007,2024-04-07,0.46416150352610064,0.22217820292456966,-0.4621458065970243
ROS1-07-0011,2024-04-07,0.3263575778441775,0.1286221846420902,-0.3842884400253679
ROS1-07-0011,2024-04-07,0.3217208635554579,0.1288582761515643,-0.3735222200392774
ROS1-07-0012,2024-04-07,0.5490564792657733,0.3218224361276975,-0.5407439836708288
ROS1-07-0011,2024-04-07,0.32288270611102343,0.1288640531233197,-0.375514041830347
ROS1-01-0003,2024-04-09,0.5354708842167392,0.33387292474970265,-0.4861384740877002
ROS1-07-0011,2024-04-09,0.37209138270412706,0.18344831312129123,-0.39424079019178604
ROS1-01-0007,2024-04-09,0.4902766936194713,0.27904216500071266,-0.46407742192477375
ROS1-07-0011,2024-04-09,0.3734675283805225,0.18326631656541087,-0.39662861390711923
ROS1-07-0011,2024-04-09,0.3697024909731311,0.184258791961262,-0.38893915294610315
ROS1-07-0012,2024-04-09,0.5747964944466958,0.385232439839507,-0.5461402057965942
ROS1-07-0011,2024-04-09,0.37037544619495816,0.18406197019023282,-0.39029901518210486
ROS1-01-0003,2024-04-12,0.5338393686354814,0.335376961429387,-0.480609099706363
ROS1-07-0011,2024-04-12,0.3306171586853023,0.18645420294460147,-0.33871912231743506
ROS1-01-0007,2024-04-12,0.47686452485735115,0.2543863935443669,-0.4611789221145355
ROS1-07-0011,2024-04-12,0.33039746870575293,0.18760543167966007,-0.3361185035080976
ROS1-07-0011,2024-04-12,0.34659630180748663,0.18279526462703413,-0.36376730605238644
ROS1-07-0012,2024-04-12,0.604986921912452,0.4024209086256475,-0.5693223354120901
ROS1-07-0011,2024-04-12,0.3278163474960363,0.18781175237287753,-0.3290931467429537
ROS1-01-0003,2024-04-14,0.533972875945053,0.3398919574262891,-0.4802870789826873
ROS1-01-0007,2024-04-14,0.4312282533346596,0.31997273813124333,-0.40710354183390196
ROS1-07-0012,2024-04-14,0.6244865417931862,0.34566528855315126,-0.5614114517187091
ROS1-15-0016,2024-04-14,0.1443323865093971,0.11320881022208262,-0.23448221077220108
ROS1-07-0012,2024-04-17,0.7153165376052365,0.5612457381105832,-0.6534652183822183
ROS1-01-0003,2024-04-22,0.6282628844277278,0.38864003975927863,-0.5458922304938326
ROS1-07-0011,2024-04-22,0.42964597015591116,0.20234177657148428,-0.4405703876431611
ROS1-01-0007,2024-04-22,0.6203413722310817,0.34575206472103137,-0.5526024700693253
ROS1-07-0011,2024-04-22,0.43137554426626473,0.20160432149830138,-0.4446470240764064
ROS1-07-0011,2024-04-22,0.42882604092633214,0.2026987402114507,-0.4382402774239482
ROS1-07-0012,2024-04-22,0.7707994347847059,0.5221244748128783,-0.7080921819351653
ROS1-07-0011,2024-04-22,0.42840634776326286,0.20233111035717485,-0.4381747914740673
ROS1-07-0012,2024-05-02,0.8194075329500262,0.5982345273614831,-0.7496110901249795
ROS1-01-0003,2024-05-02,0.6186091046548703,0.39006270257757797,-0.5677703879026212
ROS1-07-0011,2024-05-02,0.5187308235397233,0.27356843207019593,-0.4984419651409304
ROS1-01-0007,2024-05-02,0.6201158084761434,0.35524787572153804,-0.5691792670853604
ROS1-07-0011,2024-05-02,0.5189750092874631,0.2727678747646884,-0.5002158357587986
ROS1-07-0011,2024-05-02,0.5163179763609416,0.27436769427730784,-0.49436774528886407
ROS1-07-0012,2024-05-02,0.8207215818727606,0.5973671660027592,-0.7510288240955475
ROS1-07-0011,2024-05-02,0.5220641298699429,0.274769875551132,-0.5018684404633728
ROS1-01-0003,2024-05-04,0.6360409426037302,0.42810863228972845,-0.5746315503955205
ROS1-07-0011,2024-05-04,0.5882426528668384,0.33428833670552904,-0.5553533655483444
ROS1-01-0007,2024-05-04,0.657099091980602,0.4281668335567379,-0.5905693789549877
ROS1-07-0011,2024-05-04,0.5789574089907243,0.33298381102866387,-0.5453477313266883
ROS1-07-0011,2024-05-04,0.5745444450975673,0.3345384038850935,-0.5382331138022828
ROS1-07-0012,2024-05-04,0.8292362857837088,0.6481035757390636,-0.7518008386542846
ROS1-07-0011,2024-05-04,0.5743190717492066,0.3343798813788146,-0.5378810920754934
ROS1-15-0016,2024-05-04,0.2414647628104688,0.14081044540297627,-0.3473365028490111
ROS1-01-0003,2024-05-07,0.588293012139295,0.34829969248571196,-0.5610539538169471
ROS1-07-0011,2024-05-07,0.5399477506938454,0.27031870754055537,-0.5279266107027341
ROS1-01-0007,2024-05-07,0.6265020518402631,0.3591832755865426,-0.5725255038772677
ROS1-07-0011,2024-05-07,0.5341703677269337,0.26903605064370656,-0.521984563426415
ROS1-07-0011,2024-05-07,0.5326728371332992,0.27058333107651905,-0.5176001829347148
ROS1-07-0012,2024-05-07,0.8073040839154303,0.5741865783197284,-0.7425390800244052
ROS1-07-0011,2024-05-07,0.5349101187168561,0.2705975643243847,-0.5205745115190561
ROS1-01-0003,2024-05-09,0.5237650408231769,0.42452128752967794,-0.48190462045411475
ROS1-07-0011,2024-05-09,0.5883712433801828,0.33483216810685495,-0.5810504557770928
ROS1-07-0011,2024-05-09,0.555637579815948,0.3354766947120331,-0.5388478173072676
ROS1-07-0011,2024-05-09,0.5641560203122729,0.33621375375461193,-0.5481992107767082
ROS1-07-0011,2024-05-09,0.5404925179199264,0.3345005433087972,-0.5189000690270349
ROS1-15-0016,2024-05-09,0.22410146730908065,0.13909219656518876,-0.33103975932147517
ROS1-01-0007,2024-05-12,0.638647491124268,0.421173673348082,-0.5795851660754204
ROS1-01-0003,2024-05-14,0.5318529308419785,0.4152984733995947,-0.5058811407676562
ROS1-07-0011,2024-05-14,0.5813849019563718,0.3604298040998376,-0.5386576350816876
ROS1-07-0011,2024-05-14,0.5888004499595175,0.3645060388503673,-0.5463884247751128
ROS1-07-0011,2024-05-14,0.5778465115636913,0.3639748026264845,-0.5315864309256759
ROS1-07-0012,2024-05-14,0.7358688825605002,0.5716262027459307,-0.6625427466493643
ROS1-07-0011,2024-05-14,0.582730628227293,0.3660841454572088,-0.5364196591139263
ROS1-07-0012,2024-05-17,0.7065388038184516,0.755932303698453,-0.6523983333179368
ROS1-07-0011,2024-05-19,0.5238056493122171,0.4347135025410969,-0.4856746885640758
ROS1-07-0011,2024-05-19,0.5185370280841018,0.4290883257831228,-0.4759270724467322
ROS1-07-0011,2024-05-19,0.5247751394167048,0.4235578763096778,-0.47565984827903907
ROS1-07-0012,2024-05-19,0.8283275571737715,0.6882492359911161,-0.7405542472719657
ROS1-07-0011,2024-05-19,0.5002852192058149,0.4593358536936594,-0.45759767974065346
ROS1-15-0016,2024-05-19,0.11317924747214612,0.06612271756484889,-0.25278199773377497
ROS1-01-0003,2024-05-22,0.5787754272677657,0.36031298500568354,-0.5631473094336401
ROS1-07-0011,2024-05-22,0.6490550051639055,0.34345467240355954,-0.6126484365383926
ROS1-01-0007,2024-05-22,0.6452117933813694,0.3975233527618434,-0.590826600369604
ROS1-07-0011,2024-05-22,0.6521477863375512,0.34217210826812283,-0.617800046734977
ROS1-07-0011,2024-05-22,0.6403981279736881,0.34393428168023993,-0.6007332673430472
ROS1-07-0012,2024-05-22,0.813907492324109,0.6170791876009231,-0.7428116787058328
ROS1-07-0011,2024-05-22,0.6517474692474579,0.3440939148608376,-0.615166768834219
