anon_polygon_id,date,modis_ndvi,modis_evi
ROS1-01-0015,2017-04-07,0.3824968253968254,0.17489484126984128
ROS1-02-0005,2017-04-07,0.5569787401574804,0.2628311023622047
ROS1-07-0045,2017-04-07,0.3151357142857143,0.0954265873015873
ROS1-08-0010,2017-04-07,0.25338849206349207,0.0989904761904762
ROS1-12-0000,2017-04-07,0.27092301587301587,0.10080714285714286
ROS1-01-0003,2017-04-07,0.2645743083003953,0.10296600790513837
ROS1-07-0012,2017-04-07,0.252072619047619,0.08674166666666668
ROS1-15-0009,2017-04-07,0.5322,0.28500000000000003
ROS1-18-0029,2017-04-07,0.6592678571428572,0.4346210317460318
ROS1-19-0041,2017-04-07,0.4309739130434783,0.20155375494071148
ROS1-20-0023,2017-04-07,0.2528944444444445,0.11677579365079366
ROS1-21-0016,2017-04-07,0.31533452380952376,0.18181468253968255
ROS1-22-0016,2017-04-07,0.27251150793650797,0.11699246031746031
ROS1-24-0003,2017-04-07,0.6505215139442231,0.3751191235059761
ROS1-25-0017,2017-04-07,0.3498785714285714,0.17167619047619048
ROS1-26-0027,2017-04-07,0.45270952380952384,0.21509206349206353
ROS1-27-0006,2017-04-07,0.35604047619047624,0.16689285714285715
ROS1-28-0006,2017-04-07,0.5699611111111111,0.3114166666666667
ROS1-29-0006,2017-04-07,0.3193718253968254,0.13371031746031747
ROS1-30-0009,2017-04-07,0.4617778656126482,0.24202332015810277
ROS1-31-0009,2017-04-07,0.21636031746031748,0.09760515873015874
ROS1-32-0018,2017-04-07,0.5474245059288538,0.28845652173913044
ROS1-33-0014,2017-04-07,0.4794905138339921,0.23207905138339927
ROS1-37-0049,2017-04-07,0.6228773809523811,0.3738940476190477
ROS1-42-0006,2017-04-07,0.5889428571428571,0.3057714285714285
ROS1-49-0004,2017-04-07,0.4991396825396825,0.31553650793650795
ROS1-07-0011,2017-04-07,0.6083642857142857,0.3073452380952381
ROS1-12-0004,2017-04-07,0.2648234126984127,0.10466349206349206
ROS1-15-0016,2017-04-07,0.3720174603174603,0.1832285714285714
ROS1-18-0007,2017-04-07,0.34964166666666663,0.15202261904761907
ROS1-19-0026,2017-04-07,0.25465454545454547,0.10445494071146245
ROS1-20-0010,2017-04-07,0.5711968253968254,0.34773888888888893
ROS1-21-0013,2017-04-07,0.5942620553359684,0.3472841897233202
ROS1-22-0011,2017-04-07,0.24081746031746032,0.08694126984126986
ROS1-24-0026,2017-04-07,0.26611027667984183,0.13676363636363637
ROS1-25-0008,2017-04-07,0.5583,0.2671782608695652
ROS1-26-0031,2017-04-07,0.229186507936508,0.061222222222222226
ROS1-27-0009,2017-04-07,0.23275573122529641,0.11091660079051384
ROS1-28-0017,2017-04-07,0.2951190476190476,0.13834047619047618
ROS1-30-0001,2017-04-07,0.5580416666666667,0.264140873015873
ROS1-31-0024,2017-04-07,0.7743332015810277,0.4638577075098815
ROS1-32-0022,2017-04-07,0.35788650793650795,0.17619246031746033
ROS1-33-0018,2017-04-07,0.24464999999999998,0.11245476190476189
ROS1-36-0022,2017-04-07,0.4837476190476191,0.33997976190476187
ROS1-37-0025,2017-04-07,0.5873083333333334,0.3512924603174603
ROS1-38-0002,2017-04-07,0.42502142857142855,0.21723690476190474
ROS1-42-0008,2017-04-07,0.5871440476190476,0.3890896825396825
ROS1-43-0019,2017-04-07,0.6066909090909092,0.4141549407114624
ROS1-49-0007,2017-04-07,0.4520960317460318,0.26889087301587306
ROS1-15-0014,2017-04-07,0.3203119047619048,0.15707500000000002
ROS1-19-0022,2017-04-07,0.33545691699604746,0.12726758893280632
ROS1-20-0007,2017-04-07,0.3410881422924902,0.17507628458498023
ROS1-21-0034,2017-04-07,0.29890396825396826,0.10207738095238096
ROS1-22-0032,2017-04-07,0.22844761904761907,0.07104801587301589
ROS1-25-0016,2017-04-07,0.37718492063492065,0.13020119047619047
ROS1-26-0006,2017-04-07,0.5849940711462451,0.33702964426877474
ROS1-27-0004,2017-04-07,0.48698253968253974,0.2590476190476191
ROS1-28-0029,2017-04-07,0.32913690476190477,0.15907936507936507
ROS1-30-0006,2017-04-07,0.3237332015810277,0.17282569169960477
ROS1-31-0038,2017-04-07,0.5117418972332016,0.3188715415019763
ROS1-33-0010,2017-04-07,0.2590714285714286,0.09251785714285715
ROS1-36-0019,2017-04-07,0.47523571428571443,0.29609285714285716
ROS1-01-0031,2017-04-07,0.2589664031620553,0.0839205533596838
