anon_polygon_id,date,landsat_ndvi,landsat_evi,landsat_ndwi
ROS1-31-0020,2024-06-02,0.5577202733580914,0.3626408883016769,-0.6024322447552298
ROS1-37-0020,2024-06-02,0.269631329261221,0.15401259145271742,-0.36596546707719385
ROS1-37-0020,2024-06-18,0.22311949196682718,0.11748904680194396,-0.34219391046538555
ROS1-31-0020,2024-07-04,0.20280445153283466,0.12915160633723816,-0.3656486827391396
ROS1-31-0020,2024-07-20,0.18970169298344247,0.15348185764457803,-0.35645491369790794
ROS1-37-0020,2024-07-20,0.18354902466962966,0.1107139639751876,-0.30099824712000006
ROS1-31-0020,2024-08-05,0.16899803235857122,0.1275782836370834,-0.3271881457684174
ROS1-31-0020,2024-08-21,0.14589127095671472,0.10560349711051073,-0.2928806098851628
ROS1-37-0020,2024-08-21,0.19018586518586889,0.09898010566863824,-0.31895212928680144
ROS1-31-0020,2024-09-06,0.15307503250503732,0.10951293292416603,-0.30535118195538385
ROS1-37-0020,2024-09-06,0.19314181838077718,0.10155997450594874,-0.3189772088814365
ROS1-31-0020,2024-09-22,0.15361469410637416,0.10837839083419999,-0.3081107540141267
ROS1-37-0020,2024-09-22,0.18701217272292509,0.09292513421285521,-0.3075442477394439
ROS1-30-0004,2024-06-02,0.599730965550989,0.39091486001735765,-0.6275458678629066
ROS1-36-0004,2024-06-02,0.5056817622068862,0.336236599705903,-0.5619656243365986
ROS1-30-0004,2024-06-18,0.27646295379561314,0.1682796047077634,-0.44002822719083473
ROS1-36-0004,2024-06-18,0.22478142748552768,0.16562336714431355,-0.37172755169493255
ROS1-30-0004,2024-07-04,0.1880587243215798,0.15475608628432128,-0.34264918606681033
ROS1-36-0004,2024-07-04,0.19039085841102504,0.13003918049050694,-0.32138588291052744
ROS1-30-0004,2024-07-20,0.17840361379451256,0.14385607999135452,-0.3269027930611984
ROS1-36-0004,2024-07-20,0.18936315734170445,0.1327125033359216,-0.3255349922696652
ROS1-30-0004,2024-08-05,0.18774357264623126,0.1435834238762393,-0.33663407822496777
ROS1-36-0004,2024-08-05,0.19546166630053347,0.13712144922089037,-0.3227105336287291
ROS1-30-0004,2024-08-21,0.17227498709142677,0.1291336593699183,-0.30655652074230366
ROS1-36-0004,2024-08-21,0.1837935276374258,0.12765573710345818,-0.3172721585718995
ROS1-30-0004,2024-09-06,0.18276827283189193,0.1351655307537235,-0.31663172634800335
ROS1-36-0004,2024-09-06,0.1803847165586616,0.12319885681316287,-0.31977653167971604
ROS1-30-0004,2024-09-22,0.17827557267793365,0.13241203594306208,-0.3121528467242632
ROS1-36-0004,2024-09-22,0.17699610683077152,0.12014561529402519,-0.3183474352822394
ROS1-29-0001,2024-04-06,0.2187971086746604,0.08516731373713086,-0.3279388604693435
ROS1-29-0001,2024-04-22,0.21920791030798872,0.08802246146546727,-0.33094034393762967
ROS1-29-0001,2024-05-08,0.2161435656820397,0.09236132954232097,-0.33124082026227697
ROS1-29-0001,2024-05-24,0.21041557998818686,0.09290039287876876,-0.3244572995339719
ROS1-29-0001,2024-06-09,0.27689915153276184,0.148642369475091,-0.36055876335460957
ROS1-29-0001,2024-07-11,0.7246631270388275,0.46265867444506625,-0.6658696780391049
ROS1-29-0001,2024-07-27,0.6390756185995009,0.39657162310784605,-0.6155154725207941
ROS1-29-0001,2024-08-28,0.6661557975701957,0.4262934957228233,-0.6059579279692633
ROS1-29-0001,2024-09-13,0.4590023139911499,0.29333390811993526,-0.5186751449395173
ROS1-29-0001,2024-09-29,0.2750798051111849,0.1697606438861829,-0.4345458918342392
ROS1-27-0027,2024-04-06,0.19343609815488547,0.08450510629588336,-0.29065682470971305
ROS1-28-0023,2024-04-06,0.24581745909117445,0.09217948498980362,-0.34627425383156957
ROS1-29-0001,2024-04-06,0.2154042352752275,0.0860774450479874,-0.32000403438659347
ROS1-32-0008,2024-04-06,0.20229464998116725,0.08318349740405821,-0.2976676428137638
ROS1-33-0007,2024-04-06,0.1985083562894063,0.06508585420079714,-0.28522637476123747
ROS1-27-0027,2024-04-22,0.23194260539889147,0.08250345092947207,-0.33765319002134636
ROS1-28-0023,2024-04-22,0.23413640721058235,0.08768901467036372,-0.33576748308052756
ROS1-29-0001,2024-04-22,0.21831500142964877,0.08785539690120735,-0.32892447903231037
ROS1-32-0008,2024-04-22,0.22933050683781064,0.09177088785017387,-0.3519079087731233
ROS1-33-0007,2024-04-22,0.2154962281733625,0.07976788957089162,-0.3219851488003789
ROS1-27-0027,2024-05-08,0.2801281478140866,0.11200975671684953,-0.3607501042079958
ROS1-28-0023,2024-05-08,0.22917476992447383,0.09044492191134636,-0.3380800239509517
ROS1-29-0001,2024-05-08,0.21667208110077787,0.09265961504380812,-0.33235913396698263
ROS1-33-0007,2024-05-08,0.20419582128992733,0.07900141053856664,-0.3147964669908415
ROS1-27-0027,2024-05-24,0.3739817714304708,0.1738230639042243,-0.40835748300044294
ROS1-28-0023,2024-05-24,0.22725961807718825,0.09855031308994071,-0.34007339924948726
ROS1-29-0001,2024-05-24,0.21047547203704187,0.0929948176348061,-0.3241951764470578
ROS1-32-0008,2024-05-24,0.21443534578196743,0.10742540059168246,-0.33280996905763166
ROS1-33-0007,2024-05-24,0.20249287887404807,0.08365078457158667,-0.31061956196338364
ROS1-27-0027,2024-06-09,0.5071263694604531,0.3043053011278482,-0.5006623035394704
ROS1-28-0023,2024-06-09,0.2612278342337238,0.12985795740339484,-0.34984282953383355
ROS1-29-0001,2024-06-09,0.27541311805281504,0.14903908832931687,-0.3579648079475694
