anon_polygon_id,date,landsat_ndvi,landsat_evi,landsat_ndwi
ROS1-38-0004,2022-05-17,0.24328193180761135,0.19806108551165288,-0.2778687249287623
ROS1-44-0000,2022-05-17,0.22194227253814108,0.21655212858639797,-0.24608040438208317
ROS1-49-0001,2022-05-17,0.17483193463736188,0.08548632325323607,-0.31897729166442146
ROS1-49-0002,2022-05-17,0.2092282409682281,0.10571981415539806,-0.3425048832979714
ROS1-49-0001,2022-05-29,0.16105677400068882,0.09671790619282496,-0.30547440846570134
ROS1-50-0003,2022-05-29,0.15407685086887538,0.09246252009116494,-0.31332397112503924
ROS1-49-0002,2022-05-29,0.18978402119164117,0.11326849246134013,-0.33638936831306165
ROS1-50-0003,2022-06-15,0.15534455259612057,0.10200727428876259,-0.2557728853470797
ROS1-49-0001,2022-07-02,0.152708103892883,0.0764420419540387,-0.3033806478300408
ROS1-50-0003,2022-07-19,0.14679296333798608,0.08211982137927047,-0.30101738673040696
ROS1-43-0026,2022-08-22,0.14587686644550385,0.10017752189293672,-0.3132154692625705
ROS1-49-0001,2022-08-22,0.16598620164947697,0.08580933837915748,-0.34255203013878405
ROS1-50-0003,2022-08-22,0.1477346549202382,0.09102149669228032,-0.3240250334031858
ROS1-43-0017,2022-08-22,0.16385008968553752,0.10397362575776987,-0.31140131513720376
ROS1-49-0002,2022-08-22,0.17268112918808728,0.08748673440461383,-0.3421829359512937
ROS1-43-0026,2022-09-08,0.12155490431662586,0.06375046320223848,-0.25689674287452735
ROS1-49-0001,2022-09-08,0.14239832721121445,0.07040266186403515,-0.2896654951093661
ROS1-50-0003,2022-09-08,0.1277374695428982,0.07388745509473603,-0.2808758001106544
ROS1-49-0002,2022-09-08,0.13401484683551862,0.06714230629006444,-0.28954724356534595
ROS1-43-0026,2022-09-25,0.41386804262894616,0.16256730440457617,-0.4405665487327048
ROS1-49-0001,2022-09-25,0.19984173580548756,0.08465606554568995,-0.3640974356211233
ROS1-43-0017,2022-09-25,0.2546391746836559,0.09973229631009553,-0.3818890532728173
ROS1-49-0002,2022-09-25,0.19363341656453664,0.08779825787108347,-0.35749890634375736
ROS1-36-0007,2022-05-17,0.16492161087095264,0.10421634796334465,-0.3093842485481089
ROS1-42-0010,2022-05-17,0.2298945521544593,0.17006646547208656,-0.3221352932954608
ROS1-42-0009,2022-05-17,0.1853919446604913,0.09069609925147974,-0.33061253629481047
ROS1-42-0010,2022-05-29,0.2348925799926839,0.11994659111594647,-0.37400844846049486
ROS1-49-0001,2022-05-29,0.16080635237246224,0.09645429168614296,-0.30531839054539495
ROS1-42-0009,2022-05-29,0.19315374705781782,0.10153005527039048,-0.3404681374349811
ROS1-49-0002,2022-05-29,0.17945489360130631,0.10657452246069234,-0.3262670846147852
ROS1-42-0009,2022-07-02,0.14696804861811122,0.07292592991344977,-0.30027901762421677
ROS1-36-0007,2022-08-05,0.12286201246727266,0.09718097514517637,-0.24667866697702076
ROS1-42-0010,2022-08-05,0.13159653877448316,0.1127786763727653,-0.22136315983858884
ROS1-36-0007,2022-08-22,0.15454972441690393,0.09395305505513116,-0.32192278691803483
ROS1-42-0010,2022-08-22,0.17586239953960875,0.10022144495784785,-0.3372227332287333
