anon_polygon_id,date,s2_ndvi,s2_evi,s2_ndwi
ROS1-42-0008,2018-04-10,0.6606294869719483,0.4577383078696469,-0.6473545762251567
ROS1-37-0012,2018-04-10,0.17034768129530756,0.09455637596526754,-0.3233195681032867
ROS1-37-0012,2018-04-10,0.16830277193015408,0.09332462115856353,-0.31793536541692763
ROS1-43-0006,2018-04-10,0.15677690864711402,0.07849438042963805,-0.31230087019347436
ROS1-43-0019,2018-04-10,0.47848140360957453,0.28482543234665086,-0.5036508967330128
ROS1-49-0007,2018-04-10,0.3194016798360544,0.16271509590232558,-0.4062801189024617
ROS1-49-0004,2018-04-10,0.36142950169034316,0.20979785372954834,-0.4255648155533984
ROS1-49-0007,2018-04-10,0.31980483343515453,0.16277180616360212,-0.40710609676908766
ROS1-49-0003,2018-04-10,0.3724568149495882,0.18978275537671935,-0.4307736906515941
ROS1-42-0000,2018-04-10,0.4109227462028583,0.26134940874830953,-0.47851979995333865
ROS1-01-0003,2018-04-11,0.6082172240956992,0.39795189758653926,-0.5605047518604301
ROS1-07-0011,2018-04-11,0.15964026678485954,0.07456210306103139,-0.26442394119095664
ROS1-01-0015,2018-04-11,0.7776111648257369,0.6021052817990294,-0.703780532316653
ROS1-02-0005,2018-04-11,0.1842889031828786,0.06902738026997,-0.26818540874897073
ROS1-07-0011,2018-04-11,0.16056908762669053,0.07468544608977706,-0.2669321465307572
ROS1-01-0031,2018-04-11,0.1460993425530824,0.061573228847977855,-0.21446367268663177
ROS1-12-0000,2018-04-11,0.6419068549652523,0.36848916688513683,-0.579551043885468
ROS1-07-0011,2018-04-11,0.15756534175535802,0.0743629237188758,-0.2592156612515781
ROS1-12-0004,2018-04-11,0.39420562245978286,0.20100513400282097,-0.4204469791745928
ROS1-07-0045,2018-04-11,0.5114799478678329,0.2785394321385545,-0.48039227115589545
ROS1-08-0010,2018-04-11,0.3787585768783041,0.1903492176709442,-0.39731175345989994
ROS1-07-0012,2018-04-11,0.483731368469701,0.30709489032408077,-0.4817279916747962
ROS1-07-0011,2018-04-11,0.15854179940496357,0.07465336953985025,-0.2605913632789484
ROS1-07-0018,2018-04-11,0.5758950248544146,0.3407892489303146,-0.5382975859825867
ROS1-13-0013,2018-04-11,0.16755423679575457,0.08316537173060004,-0.27766491047941955
ROS1-18-0029,2018-04-11,0.5418751762090669,0.34447964728870056,-0.5304864471225906
ROS1-24-0003,2018-04-11,0.56748052781163,0.36212005827597404,-0.5469930913506815
ROS1-18-0007,2018-04-11,0.1641656630316358,0.0825726084305526,-0.2672351390254989
ROS1-25-0008,2018-04-11,0.47974156015505454,0.31511491084330806,-0.5088784987049105
ROS1-18-0030,2018-04-11,0.38303025468326285,0.19579590794328128,-0.4152002412323106
ROS1-18-0024,2018-04-11,0.23911677223409225,0.11353555080543101,-0.3451592892387027
ROS1-19-0041,2018-04-11,0.6367598996691177,0.4407943407666547,-0.6011417402809798
ROS1-25-0017,2018-04-11,0.1781263028958561,0.09130561006971624,-0.25590442958689147
ROS1-26-0027,2018-04-11,0.4882952606512578,0.332264667785729,-0.5171915950570056
ROS1-19-0026,2018-04-11,0.22640388834284977,0.11858781468631739,-0.3011603989743762
ROS1-20-0010,2018-04-11,0.5618552533220141,0.3722628767578287,-0.5590607644175534
ROS1-19-0022,2018-04-11,0.1655816370787261,0.06784319680074145,-0.26753311528932033
ROS1-19-0037,2018-04-11,0.4072519123170428,0.24625635134546667,-0.4465910273406145
ROS1-24-0003,2018-04-11,0.5662402431205441,0.36351641762661807,-0.5442559577900687
ROS1-25-0008,2018-04-11,0.47865016384000303,0.3161862793375041,-0.5063628246604298
ROS1-25-0016,2018-04-11,0.34012639362137076,0.16980795158192932,-0.39927775978173335
ROS1-32-0022,2018-04-11,0.1883794634765616,0.09248585293794302,-0.32142824821214194
ROS1-25-0016,2018-04-11,0.3409916071838464,0.16958428743948628,-0.4009425508996353
ROS1-15-0009,2018-04-11,0.1991502183328853,0.09649968881921765,-0.29818361042352626
ROS1-15-0016,2018-04-11,0.20077923600287875,0.09759095782632463,-0.2903189093503932
ROS1-15-0014,2018-04-11,0.15004949812709115,0.0761564487436763,-0.2340514377219422
ROS1-15-0003,2018-04-11,0.14353687797169506,0.06659015920091944,-0.25634605820770173
ROS1-16-0006,2018-04-11,0.13462630100004727,0.04695214528989315,-0.22472263185433294
ROS1-22-0026,2018-04-11,0.5428515352982188,0.34201542592174294,-0.5241144689553269
ROS1-15-0006,2018-04-11,0.22681635138838843,0.1393064699856241,-0.3212969944938564
ROS1-20-0023,2018-04-11,0.4729121304167934,0.294572217590584,-0.49907988885751203
ROS1-27-0006,2018-04-11,0.17560735744053727,0.0865630927414882,-0.28993129440698523
ROS1-21-0013,2018-04-11,0.16115448939991828,0.08248730395931234,-0.2806213729815602
ROS1-26-0031,2018-04-11,0.15487330067776237,0.050892867255688846,-0.267829384445971
ROS1-27-0009,2018-04-11,0.2788956322923676,0.13629260195689005,-0.3653342577169875
ROS1-20-0007,2018-04-11,0.23497409618591647,0.11961189406195055,-0.339973415230043
ROS1-21-0034,2018-04-11,0.21802047127989677,0.10525290182391764,-0.31604209627553437
ROS1-26-0006,2018-04-11,0.24582692196265252,0.10853865460993563,-0.34828915217971385
