feature,gain,split
sm_whit_lam200,53577.6440497078,1550
sm_savgol,11014.531899798661,953
sensor_mean,5571.456956518348,1371
neighbor_mean,2601.3222673125565,933
lin_interp,2344.267114238348,802
sm_clim+anomaly,2208.4226498473436,646
analog_ndvi,2116.923003148753,2433
ndvi_roll20,1079.887626633048,2387
date_anom_all_n,880.24064494716,3207
date_anom_crop,872.8491642251611,4015
date_anom_all,732.9140838584863,4146
sm_whittaker,732.7488483106717,1028
landsat_ndvi_interp,548.0462937890552,2246
modis_ndvi_dtmin,399.2683004969731,1919
prev2_ndvi,332.30406205542386,2656
next2_ndvi,320.15267236344516,2435
s2_ndvi_interp,233.25901031587273,1469
ndvi_season_std,224.5321011072956,2496
s2_ndvi_dtmin,223.40676006674767,2053
s2_evi_interp,219.75357147539034,1949
analog_best,213.49845834216103,2102
ndvi_roll10,207.92446811217815,1854
date_anom_win,186.4564425777644,2753
modis_ndvi_interp,184.5260519455187,1756
modis_minus_lin,174.5778547367081,2382
clim_crop_mean,174.50232330989093,1850
prev_ndvi,164.53364941990003,1753
whit_scale_diff,155.00364546198398,2198
precip_roll7,152.17300908267498,2770
sin2,150.45340926013887,1718
landsat_ndvi_dtmin,146.610659442842,1827
ndvi_season_mean,144.63212352059782,2103
doy,144.4687878564,1045
date_anom_win_n,142.56079625012353,2784
clim_all_mean,141.7243153117597,1455
next_ndvi,141.69139476306736,1528
modis_evi_dtmin,140.94093650346622,511
modis_evi_interp,138.3925416036509,2000
ndvi_poly_mean,137.6577103161253,2537
sensor_spread,127.87177222780883,2090
clim_all_n,127.13489719154313,1814
days_from_season_start,126.9117411756888,1058
analog_minus_lin,125.8598931171,2083
date_anom_diff,124.59372242260724,2609
neighbor_diff,124.3399337856099,2026
ndvi_season_n,123.4560972256586,1880
season_shift,122.55577916791663,2103
analog_sim,114.36852022074163,2390
ndvi_roll45,112.06129745114595,1836
precip_roll21,107.96482918597758,1951
clim_crop_std,107.52248227130622,1705
cos1,104.13047881610692,1234
extrap_fwd,101.0180746098049,1680
extrap_bwd,94.56276599690318,1629
clim_crop_n,93.71143012307584,1889
neighbor_slope,92.30886589782313,1629
temp_roll7,92.26577339600772,1708
year,92.22014551283792,1314
sin3,90.69831358175725,1564
sm_minus_lin,89.68415826698765,1666
clim_all_std,87.86029685102403,1283
temp_roll60,87.80407803645357,1588
s2_ndwi_interp,86.51306596258655,1467
precip_roll60,85.07035953225568,1850
temp_roll21,82.84570879349485,1424
precip_season_mean,75.41776108788326,1495
slope_after,74.90355781139806,1721
temp_season_mean,74.8990984307602,1511
date_anom_crop_n,74.45233633834869,1558
precip_season_anom,73.11339407460764,1465
clim_plus_date_anom,70.73468842310831,1040
cos3,70.33096266072243,1151
slope_before,68.04651910625398,1615
gap_len,67.44363763509318,917
precip_cum,67.23128108354285,1248
sm_spread,66.9334700088948,1522
sm_whit_lam5,65.80069944262505,916
dt_min,63.650469759013504,709
temp_season_anom,62.23095050593838,1265
extrap_mean,57.964743533637375,1070
dt_next,50.33354530995712,873
s2_evi_dtmin,50.08069827826694,497
curvature,49.42084418563172,1216
clim_poly_std,48.04855014337227,1034
cos2,47.75803197082132,627
dt_ratio,46.05969127267599,1121
dt_prev,44.96385479532182,857
sin1,35.61573928035796,407
analog_minus_clim,33.767521852161735,760
clim_poly_mean,31.31971042789519,690
prev_anom,30.442151785828173,696
clim_plus_anom,29.87281986931339,544
gdd_cum,28.643032338935882,560
dry_days_30,28.025919967796654,616
anom_mean,27.31553374323994,611
next_anom,26.91271234676242,665
clim_poly_n,19.36998631246388,549
s2_ndwi_dtmin,10.672229391522706,89
heat_days_30,7.699957707896829,203
crop_type,6.573228852823377,92
n_ref_years,0.0,0
analog_n,0.0,0
