phase,n,RMSE,MAE,R2,bias,within_0.05
май,393,0.09223790188333558,0.0553028863417483,0.8516494050862653,0.009753570700846068,64.8854961832061
апр,383,0.07983905908108711,0.05582477273683533,0.8796696565884484,0.006643418623800347,59.00783289817232
июн,474,0.07353790934268778,0.05268448161165229,0.8881790088333041,-0.0022584534917605313,61.60337552742617
июл,539,0.06277513582606196,0.042172278451079466,0.9066989548786266,-0.0012089510531169008,71.24304267161409
сен-окт,811,0.05639712079432462,0.03536185669488329,0.7886730424950235,-0.0022009444546627495,79.16152897657214
авг,512,0.050163851206526305,0.03204339528751178,0.8982987441013028,0.004164002268156667,82.6171875
