группа,n,RMSE,MAE,R2,bias,within_0.05
новый полигон,2648,0.06957679216904135,0.04496837515366599,0.8979868368549795,0.0022858179816180354,69.9773413897281
есть в train,464,0.057261419601882066,0.036264334955644066,0.9290788359591453,-0.002263775347276504,79.52586206896551
