method,n,RMSE,MAE,MedAE,R2,bias,sMAPE_%,p90_AE,max_AE,within_0.05,within_0.10,GapScore
lightgbm,3112,0.06788,0.04367,0.02827,0.90268,0.00161,15.88153,0.09725,0.77984,71.40103,90.3599,9.64
линейная интерполяция,3112,0.09695,0.06637,0.04722,0.8015,0.00048,24.77555,0.1472,0.96202,52.47429,80.07712,0.92
