gap_bucket,n,RMSE,MAE,R2,bias,within_0.05
17-31д,199,0.07552380576947021,0.055109025467047656,0.8768310499017339,-0.0057507835397264655,58.291457286432156
8-16д,1154,0.07002811755218354,0.04719515582172049,0.898975896673649,-0.0020653500099567556,68.2842287694974
4-7д,1102,0.0689324802579821,0.04074745482894556,0.8974915782103361,0.003549636660785784,74.41016333938293
>31д,29,0.06348105713107363,0.04801619103853357,0.8901134387172271,0.002171044154277339,68.96551724137932
1-3д,499,0.04877396188356774,0.03238372846966397,0.9490280016468009,0.006915382877972062,81.56312625250501
