year,n,RMSE,MAE,R2,bias,within_0.05
2020,215,0.10071824523268075,0.049791368452419084,0.7680833485982586,0.013454666819848842,70.23255813953489
2011,96,0.0815509865598051,0.05926915320307807,0.8365067923629126,-0.012033208954374488,59.375
2016,123,0.08024735019069226,0.052790760706137564,0.8567103909931268,0.009392639975674645,65.04065040650406
2012,73,0.07715863149408904,0.05717396202201355,0.8179675242960169,0.0017408493215523633,53.42465753424658
2021,171,0.0770158972375202,0.05111741394556282,0.87720964326989,0.001424173629921532,63.74269005847953
2013,108,0.07642956016138427,0.058387547401624273,0.8137835513432801,0.005289720101227709,52.77777777777778
2019,218,0.07184356071244148,0.04564246207225916,0.8911984458967632,0.0014611583574133146,70.64220183486239
2022,195,0.07133681303973484,0.045242906734909216,0.9134419719956808,-0.009159669597749125,70.76923076923077
2018,123,0.06568413838822046,0.04823002924624884,0.904362205210493,-0.011328926554857068,64.22764227642277
2015,102,0.06343723138414847,0.04692494284169385,0.8837015657312695,0.00779704307204223,64.70588235294117
2025,925,0.06027003175396348,0.03916400974811474,0.9222963147178981,-0.00015637327722789316,76.86486486486487
2023,203,0.05886332593754158,0.038790888760632525,0.918227154025804,0.003097374020546727,73.89162561576354
2017,155,0.05599666512236828,0.04045424577624921,0.9405761386736037,0.006566355111747369,71.61290322580646
2010,81,0.05424735075134478,0.039002550766324785,0.9340030419001817,0.006169359098404928,77.77777777777779
2024,217,0.05291495719686696,0.03489944580480028,0.9441643637667835,0.005236725744733205,76.49769585253456
2014,107,0.04266762158671412,0.029896401947513314,0.9617012979163748,0.0008921227132746534,85.04672897196261
