crop_type,n,RMSE,MAE,R2,bias,within_0.05
озимая пшеница,2030,0.07629706078867547,0.04945492127832599,0.8836650906101978,0.0012160785214814789,65.96059113300493
подсолнечник,82,0.055567168347281266,0.03638862177954632,0.915681481492865,-0.011120719915801403,79.26829268292683
пастбища/зерновые,322,0.05366039786631749,0.03369980917501026,0.9071054801374777,0.011533462088296382,80.74534161490683
зерновые,678,0.044501281685894976,0.0319678659160008,0.9407788279221695,-0.0003953700645351955,82.30088495575221
