name,RMSE,RMSE_clean,MAE,MedAE,within_0.05,bias,n,secs,cfg,f0,f1,f2,f3
baseline,0.07841309897449623,0.07003408596636873,0.04706039485055562,0.030975399061378917,67.97286070340625,-0.000978256177610984,7222,70.3,{},0.06639675043369432,0.07251575649133264,0.0894731045660071,0.08410793205670646
resid_whittaker,0.07931970240447843,0.07110060090989262,0.04779950625064667,0.03155515131003753,67.50207698698422,0.000231603056503692,7222,79.8,"{""target"": ""resid_whittaker""}",0.06611783958458783,0.07536269555841764,0.09002575783342623,0.08457452515198442
resid_savgol,0.0790471766963981,0.07066987298115412,0.0479474359770906,0.03197687795355736,67.46053724729991,-0.0007362487750134798,7222,81.1,"{""target"": ""resid_savgol""}",0.06624818977876033,0.07348688850276425,0.09002491703551861,0.08531445779513117
resid_lin,0.07951791505292265,0.07123794418146624,0.04805681080461215,0.03163464050422825,67.52977014677374,4.709386014467176e-05,7222,79.7,"{""target"": ""resid_lin""}",0.06663390109452635,0.07543459170127526,0.09034926869578161,0.08441301828097013
drop_broken,0.07867052818656331,0.07027903390536396,0.04719476792218496,0.03137815341934509,68.24979230130158,-0.0009746374307696336,7222,76.5,"{""drop_broken"": true}",0.06669082825983169,0.07255258826317243,0.08981096812371146,0.08446610185157784
resid_whit_drop,0.07894204420374863,0.07078634530698116,0.04776010803520374,0.03174322137642806,67.72362226530048,-0.00029600340365896886,7222,78.2,"{""target"": ""resid_whittaker"", ""drop_broken"": true}",0.06603627626121351,0.07484679709376783,0.08923901406264013,0.08463064473165613
huber,0.07864484100495367,0.07032371409890599,0.04714698962390121,0.030995392934010296,68.08363334256438,1.0971670821609599e-05,7222,73.0,"{""params"": {""objective"": ""huber"", ""alpha"": 0.3}}",0.06661308438243588,0.073085703619648,0.08958140118517732,0.08416148972683267
fair,0.07835887546995478,0.07000160395756828,0.046793411310444274,0.030467641855305233,68.87288839656604,-0.00031815218561925975,7222,75.5,"{""params"": {""objective"": ""fair""}}",0.06606534367869488,0.07300955191044849,0.08902006800809782,0.08430064492781633
mae,0.07920890000069994,0.0709333533112912,0.046060400088909284,0.029016748511913965,70.29908612572694,0.0016604662408319871,7222,75.4,"{""params"": {""objective"": ""regression_l1""}}",0.06849343890282573,0.07411825638424643,0.08930575628135948,0.08402882519750254
lr02_2500,0.07851865491286297,0.07012908767083886,0.04709025165311346,0.030580321845831634,68.37441152035447,-0.0009207130909749831,7222,169.8,"{""params"": {""learning_rate"": 0.02}, ""n_estimators"": 2500}",0.06603506847588686,0.07264367533475569,0.08954255257432493,0.08472904417391369
lr08_700,0.07960707262171238,0.07122573456058422,0.047871278940144604,0.03178477518090897,67.86208806424813,6.451513703675334e-05,7222,470.4,"{""params"": {""learning_rate"": 0.08}, ""n_estimators"": 700}",0.06672703204499658,0.07454041924722463,0.0905003665432886,0.08554132239568105
v2_baseline,0.07666701376159438,0.06798208174118926,0.045435848973015044,0.029358976392938475,69.56521739130434,0.0003010881479774959,7222,977.9,{},0.0645383110479432,0.06879407346553577,0.0885148100129274,0.08344190240488712
v2_fair,0.07640122657237522,0.06777401689761854,0.04526319068531431,0.028953106881245583,69.56521739130434,0.0004180654396014859,7222,94.8,"{""params"": {""objective"": ""fair""}}",0.06393483730639143,0.06880719656315354,0.08838667958847019,0.08300994704708123
v2_drop_broken,0.0764273042142423,0.06792871048065934,0.04523495015711945,0.0288698704641438,69.63445029077818,0.0005417805047904936,7222,85.7,"{""drop_broken"": true}",0.0644694098447253,0.06906995658769773,0.08813207872769745,0.08266755756384303
v2_fair_drop,0.07641966707309289,0.06777282904524144,0.04519112902318661,0.02905886670493768,70.14677374688452,0.0006395921068483063,7222,94.8,"{""params"": {""objective"": ""fair""}, ""drop_broken"": true}",0.06449369548201525,0.06877326590131902,0.08822253539874951,0.08279763220987456
v2_lr02,0.07631014913583443,0.06758858008398914,0.04501269035391078,0.029052986353840113,70.24369980614789,0.0005999819780299327,7222,180.3,"{""params"": {""learning_rate"": 0.02}, ""n_estimators"": 2500}",0.06386144479416284,0.06839074991482334,0.08830981161207269,0.08322630517186703
v2_leaves127,0.07676450320347002,0.06815145146864143,0.04530411319459498,0.029406542507994876,69.7867626696206,0.00035801456358192514,7222,165.3,"{""params"": {""num_leaves"": 127}}",0.06438915734657712,0.06924838195436071,0.08853281700474912,0.08352599618985489
v2_ff05,0.07686351126721291,0.06819256240249733,0.04552028894515017,0.02960382464956507,69.67599003046247,0.0008890685374818169,7222,61.5,"{""params"": {""feature_fraction"": 0.5}}",0.06469460438370576,0.06893580350839111,0.08868223106963805,0.08378820668234671
v2_mindata15,0.07644963546667377,0.0679046458070695,0.04531079975299736,0.029046105385565305,69.96676820825256,0.0008380556821440005,7222,86.1,"{""params"": {""min_data_in_leaf"": 15}}",0.06454340798937244,0.06897762719197224,0.08803575599909459,0.08293438848990052
v2_split_gap16,0.077606180789943,0.06905189140128845,0.045971114223961544,0.029633849970942663,69.052893935198,0.0006063684991838648,7222,135.4,"{""split_gap"": 16}",0.06487849061355885,0.06986960649645713,0.09046922317418589,0.08339954254181617
