method,n,RMSE,MAE,MedAE,R2,bias,sMAPE_%,p90_AE,max_AE,within_0.05,within_0.10,GapScore
control,1279,0.06677,0.04039,0.02483,0.90153,0.00363,14.60984,0.09109,0.81177,75.2932,91.47772,9.97
augmented,1279,0.06658,0.04053,0.0246,0.9021,0.00238,14.52048,0.09546,0.79419,74.19859,91.0086,10.03
