crop_type,run,n,RMSE,MAE,R2,bias,within_0.05
озимая пшеница,augmented,866,0.07281345094186535,0.04461579507903188,0.8894253566453333,0.0006008000382167931,70.43879907621246
подсолнечник,augmented,54,0.0634912083846696,0.040980246735816746,0.8203902358560496,-0.0178604073901715,72.22222222222221
пастбища/зерновые,augmented,174,0.05682288165452475,0.03214589959933889,0.8866282306234051,0.015527496250794364,85.0574712643678
зерновые,augmented,185,0.040171561112643465,0.0291864821107973,0.9479862165961421,0.004280565560587751,82.16216216216216
