группа,run,n,RMSE,MAE,R2,bias,within_0.05
новый полигон,augmented,1030,0.06828557932451922,0.04171147661114313,0.8972015226151794,0.0035872752409086576,73.49514563106796
есть в train,augmented,249,0.058994028916152304,0.035663761740886535,0.922463149484525,-0.002591862199849327,77.10843373493977
