crop_type,run,n,RMSE,MAE,R2,bias,within_0.05
озимая пшеница,control,866,0.07353140233178644,0.044643663166990935,0.8872340416420925,0.0018148336488091042,71.36258660508084
подсолнечник,control,54,0.05941333997142727,0.03852788625144578,0.8427210172383449,-0.017914975651210138,74.07407407407408
пастбища/зерновые,control,174,0.05613905948056246,0.03227066746855043,0.8893405057555832,0.016806492559346718,84.48275862068965
зерновые,control,185,0.03896264366049617,0.028627392754230624,0.9510697021351393,0.0060566549061636735,85.4054054054054
