группа,run,n,RMSE,MAE,R2,bias,within_0.05
новый полигон,control,1030,0.06888139793977582,0.04156552746020562,0.8953997817799367,0.005329649640094351,74.46601941747572
есть в train,control,249,0.05721800529232079,0.03550437218972234,0.9270613921248352,-0.0033754659101495436,78.714859437751
