phase,run,n,RMSE,MAE,R2,bias,within_0.05
май,control,150,0.10501223421607135,0.05869775981381762,0.7587898916131688,0.009035082292449726,62.0
апр,control,157,0.07597787950416476,0.049641328403790076,0.8889155369602215,-0.0020087484151907367,65.60509554140127
июн,control,200,0.075128691857792,0.0517926028795118,0.8773813474093078,0.005894345703381891,64.5
июл,control,238,0.06066276668932382,0.03825359894419585,0.8960683950965428,0.0024561346734728773,76.47058823529412
сен-окт,control,322,0.049634589539935665,0.03058362883605905,0.8268730492822214,0.0026418407704781027,85.09316770186336
авг,control,212,0.0402687858208564,0.027093980273363162,0.9079844332291858,0.004693666763823398,85.84905660377359
