phase,run,n,RMSE,MAE,R2,bias,within_0.05
май,augmented,150,0.10427529790776251,0.059527549812316505,0.7621634561142246,0.005759370312968432,61.33333333333333
июн,augmented,200,0.07640412506427083,0.05311245135777822,0.8731827009981827,0.003919403321330508,63.0
апр,augmented,157,0.07581176713947023,0.04944615262438231,0.8894007395315279,-0.0009784444600793123,63.69426751592356
июл,augmented,238,0.060531567343681494,0.03865910035896145,0.8965174683526246,3.358703288489761e-05,72.68907563025209
сен-окт,augmented,322,0.04988425864405154,0.03082344095246062,0.8251269619798449,0.00273341863019683,85.09316770186336
авг,augmented,212,0.03731627717070445,0.02548308964812212,0.9209829419898542,0.003147145597379884,86.79245283018868
