gap_bucket,lightgbm,linear
>31д,0.07654992025509477,0.10832610391291177
8-16д,0.0762227594405525,0.101326638568453
17-31д,0.06858023619720448,0.09457259128494815
1-3д,0.04279200466540581,0.06566987239658649
4-7д,0.042635475116558644,0.07009830809553662
