year,n,RMSE,MAE,R2,bias,within_0.05
2013,304,0.15802697413409533,0.05998979122450948,0.515751661496,0.00027854144051135346,62.82894736842105
2015,306,0.11715836223725343,0.048605821056639076,0.7052558730906582,-0.002090511693425467,70.58823529411765
2021,550,0.0869216681526157,0.05366718987068114,0.8555309501393065,0.003480386479099373,65.63636363636364
2016,330,0.07776065280477369,0.04858858761288535,0.8768767353141218,-0.0035471424562222333,66.66666666666666
2012,175,0.0771338706303529,0.05100238642907963,0.846277662371075,0.0023139879037487546,63.42857142857142
2019,645,0.07337574475370764,0.045281007151314306,0.8927130704136758,-0.0010915958812286947,71.62790697674419
2011,251,0.07068964518401043,0.052471865091748095,0.846259210473942,0.0075576787981666204,58.56573705179283
2022,576,0.0665639322991452,0.04154285799935066,0.9154427736576315,0.0011923548560494272,73.26388888888889
2023,672,0.06578818359902514,0.043921300612947446,0.9154805889321478,-0.0022785892672866495,70.08928571428571
2010,280,0.06557296394579361,0.04643118081747134,0.8964964519817233,-0.004430235228001877,66.78571428571428
2025,745,0.06071492919702009,0.041039955565924595,0.9237737823090325,-0.003079929381835737,72.48322147651007
2017,438,0.0601844971374446,0.03929219364554103,0.9345897486723496,0.001702867842451389,73.74429223744292
2020,636,0.05890250913483207,0.03612770828469175,0.9138100911312733,0.0016359545805553135,76.88679245283019
2018,410,0.054007068853103746,0.038114905393603224,0.9380450670480206,0.0008439669597116235,74.63414634146342
2014,320,0.05068935609744347,0.036211906804688575,0.9517216314213316,-0.004926273203205606,77.1875
2024,584,0.04489010178500681,0.030330667170313415,0.9542102521682316,0.004556431390464716,82.36301369863014
