feature,gain,split,gain_%
sm_whittaker,3225.3500700271884,919.0,37.66759032393505
sm_savgol,2492.460993448544,694.1666666666666,29.108468092214405
sensor_mean,729.5567685001782,815.6666666666666,8.520205521035733
neighbor_mean,274.5154260376973,440.1666666666667,3.2059573010942373
ndvi_roll20,178.57915574508175,1238.0,2.085555469314755
modis_ndvi_dtmin,128.53524369507795,1780.8333333333333,1.5011123743391175
landsat_ndvi_interp,84.21480866145187,1153.3333333333333,0.9835115082070472
lin_interp,73.54810472789298,570.6666666666666,0.8589392834399492
sm_clim+anomaly,56.063847372385986,443.3333333333333,0.6547475433539084
prev2_ndvi,51.38958641135832,1164.3333333333333,0.6001586946632392
next2_ndvi,44.995673075182516,1077.3333333333333,0.5254867046823858
ndvi_roll10,43.75476840026871,1386.6666666666667,0.510994668806939
s2_ndvi_dtmin,33.15416867724465,1385.5,0.3871944490213317
modis_ndvi_interp,31.199240110766066,1032.1666666666667,0.3643636099632781
ndvi_season_std,30.328839041137446,1125.8333333333333,0.3541985394448988
sin2,27.668677832417114,961.8333333333334,0.32313156673490817
next_ndvi,27.302395830629393,718.5,0.3188539038186919
modis_minus_lin,26.83185380776801,1513.0,0.3133586292709623
sensor_spread,26.63052787955773,1658.3333333333333,0.31100742322487046
s2_evi_interp,26.556053872928413,1018.5,0.3101376706986055
clim_all_n,25.37209981084258,1207.3333333333333,0.296310738550235
precip_roll7,25.09664970850766,1583.8333333333333,0.2930938655336106
sm_spread,24.801684724981897,1973.6666666666667,0.2896490859226765
prev_ndvi,24.72036021365784,711.8333333333334,0.2886993290561845
landsat_ndvi_dtmin,24.44541679091829,1307.6666666666667,0.28548837335055266
clim_all_mean,24.176542826501343,823.1666666666666,0.28234830045287046
ndvi_season_mean,23.368074384964228,1070.8333333333333,0.27290651665127724
clim_crop_mean,23.337190175487194,871.8333333333334,0.2725458321597331
season_shift,22.4549115828025,1194.8333333333333,0.2622420487380021
modis_evi_interp,22.425543558842037,1031.5,0.26189907117862143
s2_ndvi_interp,22.186031911958707,803.1666666666666,0.25910190919721326
modis_evi_dtmin,21.965587866026908,384.1666666666667,0.25652743020075514
sm_minus_lin,21.42872394536001,1610.3333333333333,0.25025760838782807
slope_after,21.426334878982743,1603.3333333333333,0.25022970742464523
neighbor_diff,20.98842559599628,959.3333333333334,0.24511553776477843
slope_before,19.653116871457314,1586.6666666666667,0.22952099425791317
ndvi_roll45,19.25002069475401,987.8333333333334,0.224813393124534
precip_roll21,19.095483633844804,1215.0,0.2230086157906603
clim_crop_n,18.56534607390252,1171.0,0.2168173484895366
extrap_fwd,18.360802322703723,960.1666666666666,0.21442856275893454
ndvi_poly_mean,17.872137396751594,979.5,0.20872163797966997
extrap_bwd,17.197425417097595,896.5,0.20084194309866013
temp_roll7,17.08375947812844,1096.8333333333333,0.19951448346484757
s2_ndwi_interp,16.91705303330673,971.3333333333334,0.19756758469988625
sin3,16.656985639070626,1095.8333333333333,0.19453036025912462
clim_crop_std,16.54586902281153,959.1666666666666,0.19323267315894754
dt_next,16.52977729586807,889.0,0.1930447442318696
curvature,16.491075041888205,1337.0,0.19259275588459723
clim_all_std,16.11975122462415,864.3333333333334,0.18825621159559103
ndvi_season_n,15.940470049691308,927.3333333333334,0.1861624575212908
precip_roll60,15.821265813205779,991.8333333333334,0.18477031829691923
temp_roll60,15.390598290871518,942.1666666666666,0.17974072230116603
neighbor_slope,15.196034465256767,835.0,0.17746848818207947
temp_roll21,15.051037885559102,902.8333333333334,0.17577513036235687
gap_len,15.036481613167174,514.0,0.17560513340289563
dt_ratio,15.015665968812149,1484.1666666666667,0.17536203570904213
doy,15.002875704163065,580.8333333333334,0.1752126632569125
dt_min,14.638898944598623,859.3333333333334,0.1709619223546726
cos1,13.813320411175178,716.1666666666666,0.16132031654381335
dt_prev,13.5146608974707,916.1666666666666,0.15783238997326557
temp_season_mean,13.306340921408264,792.8333333333334,0.1553995032030721
precip_season_mean,13.05769161505547,716.0,0.15249562610363254
days_from_season_start,12.701104364377292,685.8333333333334,0.14833118435881115
extrap_mean,12.42007198764865,647.0,0.14504911816303628
cos3,11.58230899415988,810.0,0.1352652148526516
precip_season_anom,11.423768596616961,690.3333333333334,0.1334136841304717
s2_evi_dtmin,11.1075275207016,357.8333333333333,0.12972042943484116
temp_season_anom,10.666063201613724,653.5,0.124564741911627
precip_cum,10.038385275518522,581.8333333333334,0.11723433917635678
year,8.732915961435841,485.0,0.10198827836568627
clim_poly_mean,8.264201204040242,533.0,0.09651434373005426
clim_poly_std,7.840580295577335,574.3333333333334,0.09156704235619145
prev_anom,7.0771756529284175,507.3333333333333,0.08265154087375948
cos2,6.487149367458187,337.8333333333333,0.07576085678709894
next_anom,6.438761346352597,509.3333333333333,0.07519575218883251
anom_mean,6.302366336041207,473.0,0.07360284870267078
gdd_cum,6.264426877702742,332.6666666666667,0.07315976874459564
dry_days_30,5.981766558601521,489.6666666666667,0.06985869045244988
sin1,5.8876578561612405,272.1666666666667,0.06875963206422113
clim_poly_n,5.620252880869278,469.0,0.06563671491067483
clim_plus_anom,5.463925551642508,356.1666666666667,0.06381102973979376
s2_ndwi_dtmin,2.772413977072574,80.83333333333333,0.03237792848198982
heat_days_30,1.2566188777176042,105.33333333333333,0.014675555847117935
crop_type,0.3831499382504262,25.166666666666668,0.004474656887875866
n_ref_years,0.0,0.0,0.0
