method,n,RMSE,MAE,MedAE,R2,bias,sMAPE_%,p90_AE,max_AE,within_0.05,within_0.10
lightgbm,7222,0.07452,0.04321,0.02783,0.88673,9e-05,14.58924,0.09499,2.43975,71.6422,91.15204
linear,7222,0.10299,0.06721,0.04624,0.78368,0.00276,23.60688,0.15236,2.38411,52.8524,80.144
