phase,n,RMSE,MAE,R2,bias,within_0.05
апр,863,0.1012796789100985,0.05752635013186128,0.7977622897866679,0.007758158961207385,60.71842410196987
сен-окт,1913,0.07908931754924153,0.03581119780454622,0.6691396899800675,-0.0011781613090616234,80.4495556717198
июн,1085,0.07349954262673138,0.051104419489021446,0.8821454318951361,0.0005412737804603865,61.566820276497694
май,945,0.07326318919015012,0.05021095639274155,0.8959107348078446,-0.002933808113229066,64.23280423280423
июл,1119,0.06447772869399594,0.04243463994013139,0.9004543806865535,9.337224663424363e-05,71.58176943699732
авг,1297,0.053451428826821024,0.03358830450730878,0.8716576625280793,-0.0013391169563708486,79.79953739398611
