crop_type,n,RMSE,MAE,R2,bias,within_0.05
подсолнечник,748,0.10493859376510038,0.04086096440143207,0.8205889841409685,0.005663809819289543,75.1336898395722
озимая пшеница,3983,0.0801573687575542,0.049632187377587456,0.8744949069752308,-0.0022831100260679105,65.77956314335928
зерновые,1871,0.05169782798568791,0.03487719423275463,0.9146051466091767,0.003459226187797479,78.88829502939605
пастбища/зерновые,620,0.04544558911729254,0.029990111988585175,0.924478694982194,-0.0015986514076021092,83.22580645161291
