method,new_polygon_avg,new_polygon_fold0,new_polygon_fold1,new_polygon_fold2,new_polygon_fold3
lightgbm,0.07409,0.06147,0.06601,0.08703,0.08185
linear,0.10307,0.09259,0.09812,0.11109,0.11047
